size	fuzzy	unit	function
728	99.64	TRK_MINNOW_DOLPHIN/debugger/embedded/MetroTRK/Portable/support	TRKSuppAccessFile
728	99.41	MarioUtil/ShadowUtil	entryDrawShadow__16TMBindShadowBodyFv
728	99.19	GC2D/Talk2D2	moveTalkWindow__8TTalk2D2Fv
724	99.83	System/MarDirectorDirect	setMario__12TMarDirectorFv
724	99.57	GC2D/Option	update__16TOptionSoundUnitFv
720	99.98	Player/MarioMove	checkRideMovement__6TMarioFv
720	99.95	System/MarDirectorDirect	currentStateFinalize__12TMarDirectorFUc
720	99.89	Enemy/emario	load__7TEMarioFR20JSUMemoryInputStream
716	99.92	Enemy/hanasambo	genEventCoin__10TSamboHeadFv
716	99.77	Enemy/bosspakkun	execute__11TNerveBPFlyCFP24TSpineBase<10TLiveActor>
716	99.61	JSystem/JAudio/JASystem/JASChannel	updateEffectorParam__Q28JASystem8TChannelFv
716	99.61	Enemy/telesa	execute__23TNerveTelesaAttackMarioCFP24TSpineBase<10TLiveActor>
716	99.55	Enemy/koopajr	makeRoundVelocity__17TKoopaJrSubmarineFv
712	99.89	Enemy/bossgesso	execute__22TNerveBGTentacleDamageCFP24TSpineBase<10TLiveActor>
712	99.87	NPC/NpcAnm	npcMadding__8TBaseNPCFv
712	99.62	MoveBG/MapObjFence	control__12TFenceWaterHFv
708	99.83	GC2D/SelectDir	direct__10TSelectDirFv
704	99.93	Enemy/Amenbo	execute__16TNerveAmenboTurnCFP24TSpineBase<10TLiveActor>
704	99.82	Strategic/ObjHitCheck	checkAndEntryGroup__12TObjHitCheckFP12TIdxGroupObj
700	99.94	Player/MarioAutodemo	warpOut__6TMarioFv
700	99.67	Enemy/bosstelesa	rouletteStart__11TBossTelesaFv
696	99.98	Enemy/gesso	bind__6TGessoFv
696	99.96	Enemy/wireBinder	bind__11TWireBinderFP10TLiveActor
696	99.83	GC2D/SelectShine2	__ct__12TSelectShineFP12J3DModelDataP11J3DAnmColorP17JPAEmitterManagerRQ29JGeometry8TVec3<f>sUcfff
696	99.77	MoveBG/MapObjRailBlock	moveToNextNode__11TRailMapObjFf
696	99.37	Enemy/bosswanwan	slideToCurPathNode__11TBossWanwanFff
696	99.14	MoveBG/MapObjFlag	draw__11TMapObjFlagFv
692	99.95	Enemy/bossManta	setupEfbAlpha__17TBossMantaManagerFPQ26JDrama9TGraphics
692	99.93	Enemy/bossgesso	doAttackDouble__10TBossGessoFv
688	99.99	Enemy/bosseel	perform__11TBossEelEyeFUlPQ26JDrama9TGraphics
688	99.98	Enemy/yunbo	execute__18TNerveYumboDancingCFP24TSpineBase<10TLiveActor>
688	99.97	Enemy/chuuhana	execute__25TNerveChuuHanaForceJumpedCFP24TSpineBase<10TLiveActor>
688	99.65	Enemy/hanasambo	init__10THanaSamboFP12TLiveManager
688	99.53	Enemy/Kazekun	getQuat__Q29JGeometry64TRotation3<Q29JGeometry38TMatrix34<Q29JGeometry13SMatrix34C<f>>>CFRQ29JGeometry9TQuat4<f>
688	99.02	Enemy/BossHanachanSub	BHSCalcCentrifugalForce__FRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>f
684	99.95	GC2D/Talk2D2	openNormalWindow__8TTalk2D2Fv
680	99.95	Enemy/pakkun	init__7TPakkunFP12TLiveManager
680	99.94	Animal/Bird	execute__28TNerveAnimalBirdWaitOnGroundCFP24TSpineBase<10TLiveActor>
680	99.93	Enemy/chuuhana	execute__19TNerveChuuHanaStickCFP24TSpineBase<10TLiveActor>
680	99.85	Enemy/popo	behaveToWater__5TPopoFP9THitActor
680	99.79	Player/MarioJump	slipFalling__6TMarioFv
680	99.76	Enemy/TabePuku	execute__19TNerveTabePukuFoundCFP24TSpineBase<10TLiveActor>
680	99.22	Enemy/popo	attackToMario__5TPopoFv
676	99.95	Enemy/killer	execute__21TNerveKillerExplosionCFP24TSpineBase<10TLiveActor>
676	99.85	MarioUtil/MathUtil	matan__Fff
676	99.17	Enemy/enemyMario	drawHPMeter__11TEnemyMarioFPA4_f
668	99.95	Enemy/rocket	execute__27TNerveRocketPossessedNozzleCFP24TSpineBase<10TLiveActor>
