unit	function	size	fuzzy	verdict	reason
mario/System/MenuDir	setup__13TMenuDirectorFPQ26JDrama8TDisplayP13TMarioGamePad	300	99.79	EQUIVALENT	L1: frame 88/64
mario/System/MenuDir	rsetup__13TMenuDirectorFv	2316	99.77	UNSUPPORTED	stack: address-taken object layout differs (P 712 vs Q 576)
mario/System/MenuDir	direct__13TMenuDirectorFv	2296	99.96	EQUIVALENT	L1: frame 296/120
mario/System/MenuDir	setFixedStageValue__13TMenuDirectorFv	1080	99.93	UNSUPPORTED	stack: address-taken object extent differs (P 40..88 vs Q 12..56)
mario/System/PerformList	perform__12TPerformListFUlPQ26JDrama9TGraphics	216	99.33	EQUIVALENT	L1: frame 232/192
mario/System/Application	__ct__12TApplicationFv	208	99.63	EQUIVALENT	L1: frame 64/48
mario/System/Application	setupThreadFuncLogo__12TApplicationFv	804	99.96	UNSUPPORTED	stack: address-taken object layout differs (P 100 vs Q 96)
mario/System/Application	initialize_nlogoAfter__12TApplicationFv	844	99.93	UNSUPPORTED	stack: address-taken object layout differs (P 84 vs Q 72)
mario/System/Application	checkAdditionalMovie__12TApplicationFv	484	99.93	EQUIVALENT	L1: frame 88/32
mario/System/Application	proc__12TApplicationFv	1104	99.98	EQUIVALENT	L1: frame 200/120
mario/System/Application	gameLoop__12TApplicationFv	1072	98.96	UNSUPPORTED	stack: address-taken object layout differs (P 172 vs Q 56)
mario/System/Application	drawDVDErr__12TApplicationFv	1036	99.81	UNSUPPORTED	stack: address-taken object layout differs (P 184 vs Q 180)
mario/System/Application	mountStageArchive__12TApplicationFv	428	98.31	UNSUPPORTED	stack: address-taken object extent differs (P 84..184 vs Q 64..176)
mario/System/DrawSyncManager	insert__Q27JGadget116TVector<Q216TDrawSyncManager19TDrawSyncTokenRange,Q27JGadget53TAllocator<Q216TDrawSyncManager19TDrawSyncTokenRange>>FPQ216TDrawSyncManager19TDrawSyncTokenRangeUlRCQ216TDrawSyncManager19TDrawSyncTokenRange	936	99.18	EQUIVALENT	L1: frame 256/288
mario/System/DrawSyncManager	setCallback__16TDrawSyncManagerFUlUsUsP17TDrawSyncCallback	52	99.62	EQUIVALENT	L1
mario/System/CardManager	decideUseSector__12TCardManagerFPQ212TCardManager9TCriteria	112	93.93	UNSUPPORTED	cfg: 12 vs 11 blocks
mario/System/CardManager	copyTo__12TCardManagerFPQ212TCardManager9TCriteriaP17TCardBookmarkInfo	412	99.80	UNSUPPORTED	stack: address-taken object layout differs (P 56 vs Q 104)
mario/System/CardManager	filledInitData___12TCardManagerFP12CARDFileInfo	824	99.85	EQUIVALENT	L1: frame 144/120
mario/System/CardManager	readBlock___12TCardManagerFUl	620	98.39	UNSUPPORTED	cfg: 31 vs 33 blocks
mario/System/CardManager	writeBlock___12TCardManagerFUl	544	99.93	UNSUPPORTED	stack: address-taken object extent differs (P 64..112 vs Q 44..88)
mario/System/CardManager	cmdLoop__12TCardManagerFv	552	96.89	UNSUPPORTED	cfg: block 6 (bc->[9, 7] vs bc->[12, 7])
mario/System/MovieDirector	setup__14TMovieDirectorFPQ26JDrama8TDisplayP13TMarioGamePad	308	99.79	EQUIVALENT	L1: frame 88/64
mario/System/MovieDirector	rsetup__14TMovieDirectorFv	2092	99.69	UNSUPPORTED	stack: address-taken object layout differs (P 704 vs Q 704)
mario/System/MovieDirector	direct__14TMovieDirectorFv	2200	99.34	UNSUPPORTED	stack: address-taken object extent differs (P 336..624 vs Q 164..448)
mario/System/MarDirectorSetupObjects	setupObjects__12TMarDirectorFv	8356	99.20	UNSUPPORTED	stack: address-taken object layout differs (P 2012 vs Q 1740)
mario/System/MSoundMainSide	setMSoundEnterStage__10MSMainProcFUcUc	2512	99.99	EQUIVALENT	L1: frame 136/64
mario/System/MSoundMainSide	init__7MSStageFUcUc	924	99.95	EQUIVALENT	L1: frame 128/40
mario/System/MSoundMainSide	proc__15MSStageDistFadeFv	728	99.73	EQUIVALENT	L1: frame 216/152
mario/System/MSoundMainSide	proc__20MSStageDistFadeMonteFv	932	99.17	EQUIVALENT	L1: frame 280/176
mario/System/MSoundMainSide	proc__15MSStageCubeFadeFv	844	98.99	EQUIVALENT	L2: frame 400/264
mario/System/MSoundMainSide	setBgmVolumeForce__15MSStageCubeFadeFv	388	97.42	UNSUPPORTED	cfg: 9 vs 10 blocks
mario/System/MSoundMainSide	proc__21MSStageCubeFadeDoubleFv	920	97.86	DIFFERENT	block 4 branch: 0x768 'bc 12,eq,784 <proc__21MSStageCubeFadeDoubleFv+0xc4>' vs 0x9a4 'bc 12,eq,9bc <proc__21MSStageCubeFadeDoubleFv+0xc0>'
mario/System/MSoundMainSide	proc__20MSStageCubeFadeMonteFv	1192	98.90	UNSUPPORTED	cfg: 30 vs 31 blocks
mario/JSystem/JKernel/JKRExpHeap	allocFromHead__10JKRExpHeapFUli	736	98.80	EQUIVALENT	L2
mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	deform__11J3DDeformerFP8J3DModelUsPf	1872	99.76	EQUIVALENT	L1
mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	initMtxIndexArray__13J3DSkinDeformFP12J3DModelData	988	99.96	EQUIVALENT	L1
mario/JSystem/JDrama/JDREfbSetting	IssueGXCopyDisp__6JDramaFPvRCQ26JDrama5TRectRC16_GXRenderModeObjQ28JUtility6TColorUl10_GXFBClampUs	404	99.50	EQUIVALENT	L1
mario/JSystem/JDrama/JDRFrmGXSet	perform__Q26JDrama9TFrmGXSetFUlPQ26JDrama9TGraphics	548	96.76	DIFFERENT	block 23 return value r4 differs (0x220 'bclr 20,lt,0')
mario/JSystem/JAudio/JALibrary/JALModSe	append__9JALSystemFQ29JALSystem7ModTypePCcUlfffffQ27JALCalc9CurveSignffUc	1484	99.85	EQUIVALENT	L1: frame 304/200
mario/JSystem/JAudio/JAInterface/JAIGFrameSe	checkNextFrameSe__8JAIBasicFv	1876	98.31	EQUIVALENT	L2
mario/JSystem/JAudio/JAInterface/JAIGFrameSequence	checkPlayingSeqTrack__8JAIBasicFUl	3740	99.61	DIFFERENT	block 178 effect 3 address differs: 0x12f4 'lhzx r5,r23,r0' vs 0x12f4 'lhzx r5,r23,r0'
mario/JSystem/JAudio/JASystem/JASChannel	__UpdateJcToDSP__Q28JASystem6DriverFPQ28JASystem8TChannel	328	99.89	EQUIVALENT	L1: frame 48/32
mario/JSystem/JAudio/JASystem/JASChannel	__UpdateJcToDSPInit__Q28JASystem6DriverFPQ28JASystem8TChannel	264	99.86	EQUIVALENT	L1: frame 48/32
mario/JSystem/JAudio/JASystem/JASChannel	updateEffectorParam__Q28JASystem8TChannelFv	716	99.61	EQUIVALENT	L1
mario/JSystem/JParticle/JPAEmitter	__ct__14JPABaseEmitterFv	280	99.93	EQUIVALENT	L1: frame 40/32
mario/JSystem/JParticle/JPAEmitter	deleteAllParticle__14JPABaseEmitterFv	212	99.79	EQUIVALENT	L1: frame 64/72
mario/JSystem/JParticle/JPAEmitter	createChildParticle__14JPABaseEmitterFP15JPABaseParticle	1460	98.91	UNSUPPORTED	stack: address-taken object layout differs (P 408 vs Q 376)
mario/JSystem/JParticle/JPAEmitter	calcEmitterGlobalParams__14JPABaseEmitterFv	884	99.91	EQUIVALENT	L1
mario/JSystem/JParticle/JPAEmitter	loadBaseEmitterBlock__14JPABaseEmitterFP12JPADataBlock	968	99.81	EQUIVALENT	L1: frame 88/80
mario/JSystem/JParticle/JPAEmitter	createParticle__14JPABaseEmitterFv	4776	97.53	UNSUPPORTED	cfg: block 11 (bc->[19, 12] vs bc->[18, 12])
mario/JSystem/JParticle/JPAEmitter	calcCreateParticle__14JPABaseEmitterFv	784	99.99	EQUIVALENT	L1
mario/JSystem/JParticle/JPAField	calcFieldFadeScale__12JPABaseFieldFf	292	95.27	DIFFERENT	block 6 effect 0: 0x198 'lhz r0,84(r3)' vs -
mario/JSystem/JParticle/JPAField	loadFieldBlock__12JPABaseFieldFP12JPADataBlock	604	99.93	UNSUPPORTED	stack: address-taken object extent differs (P 32..80 vs Q 32..72)
mario/JSystem/JParticle/JPAField	affect__11JPAAirFieldFP11JPAParticle	568	96.80	UNSUPPORTED	stack: address-taken object extent differs (P 40..104 vs Q 32..104)
mario/JSystem/JParticle/JPAField	affect__14JPAVortexFieldFP11JPAParticle	360	99.39	EQUIVALENT	L1
mario/JSystem/JParticle/JPAField	affect__18JPAConvectionFieldFP11JPAParticle	760	95.98	DIFFERENT	block 0 effect 1 address differs: 0x17b8 'lfs f2,40(r31)' vs 0x19dc 'lfs f0,32(r4)'
mario/JSystem/JParticle/JPAMath	JPAVecToRotaMtx__FPA4_fQ29JGeometry8TVec3<f>Q29JGeometry8TVec3<f>	436	62.31	DIFFERENT	block 0 effect 0 address differs: 0x548 'lfs f6,4(r5)' vs 0x5e8 'lfs f6,8(r5)'
mario/JSystem/JParticle/JPAMath	JPAGetRMtxTVecElement__FPA4_fPA4_fRQ29JGeometry8TVec3<f>	624	99.23	EQUIVALENT	L1
mario/JSystem/JParticle/JPADrawVisitor	exec__22JPADrawExecDirectionalFPC14JPADrawContextP15JPABaseParticle	1044	99.67	UNSUPPORTED	stack: address-taken object extent differs (P 188..296 vs Q 156..256)
mario/JSystem/JParticle/JPADrawVisitor	exec__25JPADrawExecRotDirectionalFPC14JPADrawContextP15JPABaseParticle	1116	99.96	DIFFERENT	block 15 effect 20 address differs: 0x2124 'lfs f31,44(r30)' vs 0x2158 'lfs f29,52(r30)'
mario/JSystem/JParticle/JPADrawVisitor	exec__27JPADrawExecDirectionalCrossFPC14JPADrawContextP15JPABaseParticle	1368	99.65	DIFFERENT	block 15 effect 19 address differs: 0x25cc 'lfs f31,44(r30)' vs 0x2600 'lfs f29,52(r30)'
mario/JSystem/JParticle/JPADrawVisitor	exec__30JPADrawExecRotDirectionalCrossFPC14JPADrawContextP15JPABaseParticle	1440	99.97	DIFFERENT	block 15 effect 20 address differs: 0x2b6c 'lfs f31,44(r30)' vs 0x2ba0 'lfs f29,52(r30)'
mario/JSystem/JParticle/JPADrawVisitor	exec__15JPADrawExecLineFPC14JPADrawContextP15JPABaseParticle	448	99.63	EQUIVALENT	L1: frame 120/112
mario/JSystem/JParticle/JPADrawVisitor	exec__17JPADrawExecStripeFPC14JPADrawContext	1136	97.97	UNSUPPORTED	stack: address-taken object extent differs (P 264..504 vs Q 232..480)
mario/JSystem/JParticle/JPADrawVisitor	exec__22JPADrawExecStripeCrossFPC14JPADrawContext	2024	97.02	UNSUPPORTED	stack: address-taken object extent differs (P 444..696 vs Q 468..696)
mario/TRK_MINNOW_DOLPHIN/debugger/embedded/MetroTRK/Portable/support	TRKSuppAccessFile	728	99.64	UNSUPPORTED	frame: LR not restored
