subsystem	function	total_uses	game_src	jsystem_src	non_sdk_headers	thpplayer_src	odemuexi2_src	files	declared_in
GX	GXParam1f32	12	12	0	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXTexCoord2s8	12	12	0	0	0	0	2	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
OS	OSGetTick	12	4	5	3	0	0	7	dolphin/os.h
MTX (C)	C_MTXOrtho	11	8	2	0	1	0	7	dolphin/mtx.h
GX	GXLoadLightObjImm	11	10	1	0	0	0	4	dolphin/gx/GXLighting.h
GX	GXSetScissor	11	7	2	1	1	0	6	dolphin/gx/GXCull.h
GX	GXSetTevDirect	11	7	4	0	0	0	5	dolphin/gx/GXBump.h
GX	GXSetTexCoordGen	11	0	9	0	2	0	2	dolphin/gx/GXGeometry.h
GX	GXInitLightColor	10	8	1	1	0	0	5	dolphin/gx/GXLighting.h
GX	GXSetLineWidth	10	5	5	0	0	0	7	dolphin/gx/GXGeometry.h
GX	GXSetTevSwapMode	10	1	1	0	8	0	3	dolphin/gx/GXTev.h
GX	GXSetViewport	10	7	2	0	1	0	6	dolphin/gx/GXTransform.h
MTX (C)	C_MTXLookAt	9	7	2	0	0	0	7	dolphin/mtx.h
OS cache	DCInvalidateRange	9	1	5	0	3	0	6	dolphin/os/OSCache.h
GD	GDSetCurrent	9	4	5	0	0	0	4	dolphin/gd/GDBase.h
GX	GXSetIndTexCoordScale	9	6	3	0	0	0	5	dolphin/gx/GXBump.h
GX	GXSetMisc	9	0	9	0	0	0	2	dolphin/gx/GXManage.h
OS	OSEnableInterrupts	9	0	8	0	1	0	4	dolphin/os.h
MTX (paired-single)	PSMTXCopy	9	9	0	0	0	0	4	dolphin/mtx.h
MTX (paired-single)	PSVECNormalize	9	9	0	0	0	0	4	dolphin/mtx.h
MTX (C)	C_MTXPerspective	8	6	2	0	0	0	5	dolphin/mtx.h
GD	GDSetZMode	8	4	3	1	0	0	3	dolphin/gd/GDPixel.h
GX	GXParam1s32	8	0	8	0	0	0	1	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
GX	GXSetNumIndStages	8	5	3	0	0	0	7	dolphin/gx/GXBump.h
GX	GXSetTevKColor	8	2	3	0	3	0	5	dolphin/gx/GXTev.h
GX	GXSetTexCoordCylWrap	8	8	0	0	0	0	1	dolphin/gx/GXTexture.h
GX	GXSetTexCoordScaleManually	8	8	0	0	0	0	1	dolphin/gx/GXTexture.h
OS	OSGetTime	8	2	6	0	0	0	4	dolphin/os.h
OS	OSJoinThread	8	8	0	0	0	0	7	dolphin/os/OSThread.h
PAD	PADControlMotor	8	5	3	0	0	0	2	dolphin/pad.h
MTX (paired-single)	PSMTXConcat	8	8	0	0	0	0	4	dolphin/mtx.h
DSP	DSPCheckMailToDSP	7	0	7	0	0	0	2	dolphin/dsp.h
DVD	DVDOpen	7	1	5	0	1	0	7	dolphin/dvd.h
GX	GXCmd1u32	7	0	7	0	0	0	2	dolphin/gx/GXVert.h (macro-generated WGPipe writers)
