subsystem	function	total_uses	game_src	jsystem_src	non_sdk_headers	thpplayer_src	odemuexi2_src	files	declared_in
GX	GXInitLightAttnK	1	1	0	0	0	0	1	dolphin/gx/GXLighting.h
GX	GXInitLightDistAttn	1	1	0	0	0	0	1	dolphin/gx/GXLighting.h
GX	GXInitTexObjCI	1	0	1	0	0	0	1	dolphin/gx/GXTexture.h
GX	GXLoadNrmMtxIndx3x3	1	0	1	0	0	0	1	dolphin/gx/GXTransform.h
GX	GXLoadPosMtxIndx	1	0	1	0	0	0	1	dolphin/gx/GXTransform.h
GX	GXLoadTlut	1	0	1	0	0	0	1	dolphin/gx/GXTexture.h
GX	GXPeekARGB	1	1	0	0	0	0	1	dolphin/gx/GXCpu2Efb.h
GX	GXPeekZ	1	1	0	0	0	0	1	dolphin/gx/GXCpu2Efb.h
GX	GXPokeAlphaRead	1	1	0	0	0	0	1	dolphin/gx/GXCpu2Efb.h
GX	GXProject	1	1	0	0	0	0	1	dolphin/gx/GXTransform.h
GX	GXReadPixMetric	1	1	0	0	0	0	1	dolphin/gx/GXPerf.h
GX	GXSetDispCopyDst	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXSetDispCopyFrame2Field	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXSetDispCopySrc	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXSetDispCopyYScale	1	0	1	0	0	0	1	dolphin/gx/GXFrameBuffer.h
GX	GXSetDrawDone	1	1	0	0	0	0	1	dolphin/gx/GXManage.h
GX	GXSetDrawSyncCallback	1	1	0	0	0	0	1	dolphin/gx.h
GX	GXSetFieldMode	1	0	1	0	0	0	1	dolphin/gx/GXPixel.h
GX	GXSetFogRangeAdj	1	1	0	0	0	0	1	dolphin/gx/GXPixel.h
GX	GXSetViewportJitter	1	0	1	0	0	0	1	dolphin/gx/GXTransform.h
GX	GXSetVtxAttrFmtv	1	1	0	0	0	0	1	dolphin/gx/GXGeometry.h
GX	GXSetZTexture	1	1	0	0	0	0	1	dolphin/gx/GXTev.h
GX	GXWaitDrawDone	1	1	0	0	0	0	1	dolphin/gx/GXManage.h
OS cache	LCDisable	1	0	0	0	1	0	1	dolphin/os/OSCache.h
OS cache	LCEnable	1	0	0	0	1	0	1	dolphin/os/OSCache.h
OS	OSAllocFromHeap	1	0	1	0	0	0	1	dolphin/os/OSAlloc.h
OS	OSDetachThread	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSDumpHeap	1	0	0	1	0	0	1	dolphin/os/OSAlloc.h
OS	OSEnableScheduler	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSExitThread	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSFillFPUContext	1	0	1	0	0	0	1	dolphin/os/OSContext.h
OS	OSFreeToHeap	1	0	1	0	0	0	1	dolphin/os/OSAlloc.h
OS	OSGetArenaLo	1	0	1	0	0	0	1	dolphin/os.h
OS	OSGetFontTexture	1	0	1	0	0	0	1	dolphin/os/OSFont.h
OS	OSGetFontWidth	1	0	1	0	0	0	1	dolphin/os/OSFont.h
OS	OSGetResetSwitchState	1	0	1	0	0	0	1	dolphin/os/OSResetSW.h
OS	OSGetThreadPriority	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSInitAlloc	1	0	1	0	0	0	1	dolphin/os/OSAlloc.h
OS	OSInitCond	1	1	0	0	0	0	1	dolphin/os/OSMutex.h
OS	OSInitFont	1	0	1	0	0	0	1	dolphin/os/OSFont.h
OS	OSInitStopwatch	1	1	0	0	0	0	1	dolphin/os/OSStopwatch.h
OS	OSInitThreadQueue	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSReferentSize	1	0	0	1	0	0	1	dolphin/os/OSAlloc.h
OS	OSResetStopwatch	1	1	0	0	0	0	1	dolphin/os/OSStopwatch.h
OS	OSResetSystem	1	1	0	0	0	0	1	dolphin/__start.h
OS	OSRoundDown32B	1	0	1	0	0	0	1	dolphin/os.h
OS	OSRoundUp32B	1	0	1	0	0	0	1	dolphin/os.h
OS	OSSetArenaHi	1	0	1	0	0	0	1	dolphin/os.h
OS	OSSetArenaLo	1	0	1	0	0	0	1	dolphin/os.h
OS	OSSleepThread	1	0	1	0	0	0	1	dolphin/os/OSThread.h
OS	OSTicksToCalendarTime	1	1	0	0	0	0	1	dolphin/os.h
OS	OSWaitCond	1	1	0	0	0	0	1	dolphin/os/OSMutex.h
OS	OSWakeupThread	1	0	1	0	0	0	1	dolphin/os/OSThread.h
PAD	PADClamp	1	0	1	0	0	0	1	dolphin/pad.h
PAD	PADInit	1	0	1	0	0	0	1	dolphin/pad.h
PAD	PADRead	1	0	1	0	0	0	1	dolphin/pad.h
PAD	PADRecalibrate	1	0	1	0	0	0	1	dolphin/pad.h
PAD	PADReset	1	0	1	0	0	0	1	dolphin/pad.h
PAD	PADSetAnalogMode	1	0	0	1	0	0	1	dolphin/pad.h
PAD	PADSetSpec	1	0	1	0	0	0	1	dolphin/pad.h
OS/PPC	PPCMfmsr	1	0	1	0	0	0	1	dolphin/base/PPCArch.h
OS/PPC	PPCSync	1	0	1	0	0	0	1	dolphin/base/PPCArch.h
MTX (paired-single)	PSMTXInverse	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (paired-single)	PSMTXRotAxisRad	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (paired-single)	PSMTXRotRad	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (paired-single)	PSMTXScale	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (paired-single)	PSVECMag	1	1	0	0	0	0	1	dolphin/mtx.h
MTX (paired-single)	PSVECSquareDistance	1	1	0	0	0	0	1	dolphin/mtx.h
THP	THPAudioDecode	1	0	0	0	1	0	1	dolphin/thp.h
THP	THPInit	1	0	0	0	1	0	1	dolphin/thp.h
THP	THPVideoDecode	1	0	0	0	1	0	1	dolphin/thp.h
VI	VIGetDTVStatus	1	1	0	0	0	0	1	dolphin/vi/vifuncs.h
VI	VIInit	1	1	0	0	0	0	1	dolphin/vi/vifuncs.h
