mario/Animal/AnimalBase	TAnimalBase::init(TLiveManager*)	99.823	656	0x98	0x70	0x28	29	all-shift(low region)	0x48>0x70 0x4c>0x74 0x50>0x78 0x54>0x7c 0x5c>0x84 0x60>0x88 0x64>0x8c 0x68>0x90
mario/Animal/Bird	TNerveAnimalBirdGraphWander::execute(TSpineBase<TLiveActor>*) const	99.760	800	0xa0	0xb8	-0x18	48	mixed	0x64>0x4c 0x68>0x50 0x6c>0x54 0x70>0x58 0x74>0x5c 0x78>0x60 0x7c>0x64 0x84>0x68 0x88>0x6c 0x8c>0x70 0x90>0x78 0x94>0x7c 0x98>0x80 0x9c>0x84 0xa0>0x88 0xa4>0x8c 0xac>0x94 0xb0>0x98
mario/MSound/MSoundSE	__sinit_MSoundSE_cpp	99.967	856	0x38	0x10	0x28	7	all-shift(low region)	0x8>0x30
mario/MSound/MSoundSE	MSSetSoundTL<MSSetSoundGrp>::MSSetSoundTL(unsigned long, const char*, MSSetSoundGrp*, unsigned char, unsigned char, unsigned char, unsigned char, float, unsigned char, float, float, float, float, float, long, float, long, float, float, float, bool)	99.793	600	0x128	0xc0	0x68	31	all-shift(low region)	0x48>0xb0 0x70>0xd8 0x78>0xe0 0x80>0xe8 0x88>0xf0 0x90>0xf8 0x98>0x100 0xa0>0x108 0xa8>0x110 0xb0>0x118 0xb8>0x120
mario/MSound/MSoundSE	MSoundSESystem::MSRandVol::MSRandVol(unsigned long)	99.833	168	0x20	0x18	0x8	7	all-shift(low region)	0x10>0x18
mario/MSound/MSoundSE	MSoundSESystem::MSRandPlay::MSRandPlay(unsigned long, long, long, float, float)	99.625	160	0x48	0x40	0x8	15	all-shift(low region)	0x20>0x28 0x24>0x2c 0x28>0x30 0x2c>0x34 0x30>0x38 0x38>0x40
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundActorInner(unsigned long, JAISound**, JAIActor*, unsigned long, unsigned char)	99.979	960	0x58	0x50	0x8	5	all-shift(low region)	0x34>0x3c
mario/MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundNpcActor(unsigned long, const Vec*, unsigned long, JAISound**, unsigned long, unsigned char)	99.721	272	0x88	0x78	0x10	19	mixed	0x4c>0x58 0x58>0x64 0x5c>0x68 0x60>0x6c 0x64>0x70 0x68>0x78 0x6c>0x7c 0x70>0x80
mario/MSound/MSoundStruct	MSSetSoundTL<MSSetSound>::MSSetSoundTL(unsigned long, const char*, MSSetSound*, unsigned char, unsigned char, unsigned char, unsigned char, float, unsigned char, float, float, float, float, float, long, float, long, float, float, float, bool)	99.793	600	0x128	0xc0	0x68	31	all-shift(low region)	0x48>0xb0 0x70>0xd8 0x78>0xe0 0x80>0xe8 0x88>0xf0 0x90>0xf8 0x98>0x100 0xa0>0x108 0xa8>0x110 0xb0>0x118 0xb8>0x120
mario/Camera/CameraChange	CPolarSubCamera::execCameraModeChangeProc_(int)	99.992	2544	0x100	0xb0	0x50	5	all-shift(low region)	0x98>0xe8
mario/Camera/CameraNotice	CPolarSubCamera::ctrlLButtonCamera_()	99.788	528	0x70	0x50	0x20	28	mixed	0x24>0x34 0x28>0x38 0x2c>0x3c 0x34>0x54 0x38>0x58 0x40>0x60 0x48>0x68
mario/Enemy/emario	TEMario::load(JSUMemoryInputStream&)	99.894	720	0xf0	0xa8	0x48	19	mixed	0x74>0xd0 0x78>0xd4 0x7c>0xc0 0x80>0xc4 0x84>0xc8 0x88>0xcc 0x90>0xd8 0x94>0xdc 0x9c>0xe4 0xa0>0xe8
mario/Enemy/emario	TEMario::init(TLiveManager*)	99.917	436	0x88	0x60	0x28	9	all-shift(low region)	0x54>0x7c 0x58>0x80
mario/Enemy/enemy	TSpineBase<TLiveActor>::update()	99.924	264	0x18	0x20	-0x8	5	regsave-only	
mario/Enemy/enemy	TSpineEnemy::goToExclusiveNextGraphNode()	99.755	588	0x170	0x160	0x10	36	mixed	0xd8>0x118 0xdc>0x11c 0xe0>0x120 0xe4>0x124 0xe8>0x128 0xec>0x12c 0xf0>0x130 0x108>0x134 0x10c>0x138 0x110>0x13c 0x114>0x140 0x118>0x144 0x11c>0x148 0x120>0x14c 0x154>0x164 0x158>0x168
mario/Enemy/enemy	TSpineEnemy::goToDirectedNextGraphNode(const JGeometry::TVec3<float>&)	99.696	276	0x98	0x90	0x8	21	mixed	0x5c>0x74 0x60>0x78 0x64>0x7c 0x68>0x80 0x6c>0x84 0x70>0x88 0x74>0x8c
mario/Enemy/enemymanager	TEnemyManager::createEnemies(int)	99.718	340	0xb0	0x98	0x18	24	mixed	0x48>0x5c 0x4c>0x60 0x50>0x64 0x54>0x68 0x58>0x6c 0x60>0x78 0x64>0x7c 0x68>0x80 0x70>0x84 0x7c>0x94
mario/Enemy/enemyMario	TEnemyMario::initModel()	99.913	1560	0x2f8	0x2a0	0x58	34	mixed	0xe0>0x13c 0xe4>0x140 0xe8>0x144 0xec>0x148 0xf0>0x14c 0xf4>0x150 0xf8>0x154 0xfc>0x178 0x12c>0x158 0x130>0x15c 0x134>0x160 0x138>0x164 0x13a>0x166 0x13c>0x168 0x140>0x16c 0x144>0x170 0x148>0x174 0x15
