772	99.59	stack+reg	0	0	0	2	13	0	MoveBG/MapObjCorona	TBathtub::perform(unsigned long, JDrama::TGraphics*)	target r1, -0x168(r1) / ours r1, -0x168(r1)
752	99.65	stack	0	0	0	65	0	0	Map/Map	initMare()	target r1, -0x148(r1) / ours r1, -0x130(r1)
744	99.65	stack+reg	0	0	0	1	12	0	Enemy/hinokuri2	THino2Mask::perform(unsigned long, JDrama::TGraphics*)	target r1, -0xd8(r1) / ours r1, -0xd8(r1)
728	99.98	stack	0	0	0	4	0	0	Strategic/spcinterp	TSpcInterp::execmul()	target r1, -0x70(r1) / ours r1, -0x70(r1)
728	99.98	stack	0	0	0	4	0	0	Strategic/spcinterp	TSpcInterp::execdiv()	target r1, -0x70(r1) / ours r1, -0x70(r1)
728	99.96	stack	0	0	0	7	0	0	Enemy/Amenbo	TAmenbo::bind()	target r1, -0x48(r1) / ours r1, -0x48(r1)
728	99.19	stack+reg	0	0	0	7	21	0	GC2D/Talk2D2	TTalk2D2::moveTalkWindow()	target r1, -0x40(r1) / ours r1, -0x38(r1)
712	99.39	stack+reg	0	0	0	69	4	0	Enemy/fireWanwan	TFireWanwanTailHit::performNodes(unsigned long, JDrama::TGraphics*)	target r1, -0x140(r1) / ours r1, -0x110(r1)
704	99.82	stack+reg	0	0	0	12	2	0	Strategic/ObjHitCheck	TObjHitCheck::checkAndEntryGroup(TIdxGroupObj*)	target r1, -0x140(r1) / ours r1, -0x140(r1)
688	99.65	stack+reg	0	0	0	35	5	0	Enemy/hanasambo	THanaSambo::init(TLiveManager*)	target r1, -0xe8(r1) / ours r1, -0xc8(r1)
680	99.79	reg	0	0	0	0	5	0	Player/MarioJump	TMario::slipFalling()	target r1, -0x70(r1) / ours r1, -0x70(r1)
676	99.17	operand	0	0	0	46	10	2	Enemy/enemyMario	TEnemyMario::drawHPMeter(float(*)[4])	target r1, -0xc8(r1) / ours r1, -0xb8(r1)
636	99.47	stack+reg	0	0	0	20	11	0	Player/ModelWaterManager	TModelWaterManager::perform(unsigned long, JDrama::TGraphics*)	target r1, -0x88(r1) / ours r1, -0x60(r1)
604	99.92	stack	0	0	0	12	0	0	Enemy/bossManta	TBossManta::control()	target r1, -0x178(r1) / ours r1, -0x178(r1)
596	99.87	stack	0	0	0	19	0	0	MoveBG/MapObjMonte	THangingBridge::initDraw() const	target r1, -0xf0(r1) / ours r1, -0xd8(r1)
588	99.76	stack	0	0	0	36	0	0	Enemy/enemy	TSpineEnemy::goToExclusiveNextGraphNode()	target r1, -0x170(r1) / ours r1, -0x160(r1)
556	99.98	stack	0	0	0	3	0	0	Enemy/bosseel	TBEelTearsDrop::TBEelTearsDrop(TBEelTears*, int, SDLModelData*, const char*)	target r1, -0x138(r1) / ours r1, -0x138(r1)
552	99.18	stack+reg	0	0	0	38	7	0	JSystem/JParticle/JPADrawVisitor	JPADrawExecRotation::exec(const JPADrawContext*, JPABaseParticle*)	target r1, -0xd8(r1) / ours r1, -0xd0(r1)
544	99.91	stack	0	0	0	12	0	0	Enemy/wireTrap	TWireTrap::load(JSUMemoryInputStream&)	target r1, -0xa8(r1) / ours r1, -0xa8(r1)
540	99.83	stack	0	0	0	23	0	0	JSystem/JParticle/JPADrawVisitor	JPADrawExecRotBillBoard::exec(const JPADrawContext*, JPABaseParticle*)	target r1, -0x80(r1) / ours r1, -0x80(r1)
532	99.86	stack	0	0	0	19	0	0	GC2D/Talk2D2	TTalk2D2::openTalkWindow(TBaseNPC*)	target r1, -0x98(r1) / ours r1, -0x60(r1)
524	99.96	stack	0	0	0	5	0	0	MoveBG/MapObjMare	TWireBell::initDraw() const	target r1, -0x80(r1) / ours r1, -0x88(r1)
480	99.94	stack	0	0	0	7	0	0	Enemy/hamukuri	THaneHamuKuri::bind()	target r1, -0x48(r1) / ours r1, -0x48(r1)
472	99.76	stack	0	0	0	28	0	0	Strategic/ObjHitCheck	TObjHitCheck::entryGroup(TIdxGroupObj*)	target r1, -0xe0(r1) / ours r1, -0xd8(r1)
468	99.27	reg	0	0	0	0	5	0	MSound/MSoundScene	MSSceneSE::sortMaxTrans(Vec*, unsigned char, unsigned char)	target r1, -0x40(r1) / ours r1, -0x40(r1)
452	99.96	stack	0	0	0	5	0	0	MSound/MSoundSE	MSoundSESystem::MSRandPlay::randPlay(unsigned long)	target r1, -0x40(r1) / ours r1, -0x40(r1)
412	99.91	stack	0	0	0	9	0	0	Enemy/enemyMario	TEnemyMario::emWaitingToInviteMario()	target r1, -0xa8(r1) / ours r1, -0xa8(r1)
384	99.93	stack	0	0	0	7	0	0	Enemy/pakkun	TPakkunSeed::loadInit(TSpineEnemy*, const char*)	target r1, -0xb0(r1) / ours r1, -0xb0(r1)
376	99.84	stack	0	0	0	15	0	0	MoveBG/MapObjMamma	TMammaBlockRotate::initMapObj()	target r1, -0x138(r1) / ours r1, -0xc8(r1)
372	99.72	stack	0	0	0	26	0	0	MoveBG/MapObjMare	TMapObjPuncher::touchPlayer(THitActor*)	target r1, -0x68(r1) / ours r1, -0x68(r1)
356	99.88	stack	0	0	0	11	0	0	System/EventWatcher	evStartSE(TSpcTypedInterp<TEventWatcher>*, unsigned long)	target r1, -0x50(r1) / ours r1, -0x50(r1)
356	99.79	stack	0	0	0	19	0	0	System/GCLogoDir	TGCLogoDir::direct()	target r1, -0x78(r1) / ours r1, -0x48(r1)
348	99.95	stack	0	0	0	4	0	0	Map/MapCheck	TMapCollisionData::checkRoof(float, float, float, unsigned char, const TBGCheckData**) con	target r1, -0x90(r1) / ours r1, -0x90(r1)
344	99.93	stack	0	0	0	6	0	0	Enemy/namekuri	TNameKuri::setMeltAnm()	target r1, -0x68(r1) / ours r1, -0x68(r1)
344	99.92	stack	0	0	0	7	0	0	Enemy/tamaNoko	TTamaNoko::receiveMessage(THitActor*, unsigned long)	target r1, -0x40(r1) / ours r1, -0x20(r1)
336	99.74	operand	0	0	0	0	0	2	MoveBG/MapObjBall	TResetFruit::touchWater(THitActor*)	target r1, -0x38(r1) / ours r1, -0x38(r1)
320	99.58	stack	0	0	0	34	0	0	GC2D/GCConsole2	TGCConsole2::processMoveNozzle()	target r1, -0xa8(r1) / ours r1, -0x60(r1)
304	99.92	stack	0	0	0	6	0	0	JSystem/JParticle/JPADrawVisitor	JPADrawCalcScaleYBySpeed::calc(const JPADrawContext*, JPABaseParticle*)	target r1, -0x78(r1) / ours r1, -0x78(r1)
300	99.88	stack	0	0	0	9	0	0	Enemy/tamaNoko	TTamaNokoManager::initSetEnemies()	target r1, -0xe0(r1) / ours r1, -0x38(r1)
292	99.73	stack	0	0	0	20	0	0	Enemy/fireWanwan	TFireWanwanTailHit::moveRequest(const JGeometry::TVec3<float>&)	target r1, -0x48(r1) / ours r1, -0x48(r1)
280	99.93	stack	0	0	0	5	0	0	JSystem/JParticle/JPAEmitter	JPABaseEmitter::JPABaseEmitter()	target r1, -0x28(r1) / ours r1, -0x20(r1)
276	99.7	stack	0	0	0	21	0	0	Enemy/enemy	TSpineEnemy::goToDirectedNextGraphNode(const JGeometry::TVec3<float>&)	target r1, -0x98(r1) / ours r1, -0x90(r1)
272	99.72	stack	0	0	0	19	0	0	MSound/MSoundSE	MSoundSESystem::MSoundSE::startSoundNpcActor(unsigned long, const Vec*, unsigned long, JAI	target r1, -0x88(r1) / ours r1, -0x78(r1)
208	99.79	stack	0	0	0	11	0	0	MoveBG/MapObjBase	TMapObjBase::initAndRegister(const char*)	target r1, -0x70(r1) / ours r1, -0x70(r1)
208	99.63	stack	0	0	0	19	0	0	System/Application	TApplication::TApplication()	target r1, -0x40(r1) / ours r1, -0x30(r1)
188	99.79	stack	0	0	0	10	0	0	Enemy/igaiga	TIgaigaManager::initSetEnemies()	target r1, -0x98(r1) / ours r1, -0x20(r1)
160	99.62	stack	0	0	0	15	0	0	MSound/MSoundSE	MSoundSESystem::MSRandPlay::MSRandPlay(unsigned long, long, long, float, float)	target r1, -0x48(r1) / ours r1, -0x40(r1)
144	99.86	stack	0	0	0	5	0	0	Map/Map	TMap::isTouchedOneWall(float, float, float, float) const	target r1, -0x68(r1) / ours r1, -0x68(r1)
