unit	function	pct	size	retail_frame	our_frame	gap	stackrows
mario/Map/MapMakeData	TMapCollisionBase::updateTrans(const JGeometry::TVec3<float>&)	99.706	408	0x70	0x58	0x18	30
mario/Map/MapMakeList	TMapCollisionData::updateCheckListNode(long, long, long)	99.922	256	0x60	0x48	0x18	5
mario/Map/MapMakeList	TMapCollisionData::removeCheckListData(unsigned short, long)	99.967	608	0x70	0x48	0x28	5
mario/Map/MapWarp	TMapWarp::watchToWarp()	99.945	800	0x170	0x170	0x0	11
mario/Map/MapWire	TMapWire::drawUpper() const	99.882	304	0x58	0x40	0x18	9
mario/Map/MapWireManager	TMapWireActor::getPosInWire() const	99.623	424	0xb8	0xb8	0x0	40
mario/Map/MapEventMare	TMareWallRock::appear()	99.961	408	0x78	0x78	0x0	4
mario/Map/MapEventMare	TMareWallRock::movement()	99.965	904	0xf0	0xf0	0x0	8
mario/Map/MapEventMare	TMareEventDepressWall::depressing()	99.938	1100	0xe8	0xc0	0x28	17
mario/MoveBG/MapObjBase	TMapObjBase::initAndRegister(const char*)	99.788	208	0x70	0x70	0x0	11
mario/MoveBG/MapObjInit	TMapObjBase::initUnique()	99.979	2116	0x2d8	0x100	0x1d8	11
mario/MoveBG/MapObjGeneral	TMapObjGeneral::bind()	99.856	640	0xb0	0xb0	0x0	23
mario/MoveBG/MapObjLib	TMapObjBase::rotateVecByAxisY(JGeometry::TVec3<float>*, float)	99.776	268	0xd0	0xf0	-0x20	15
mario/MoveBG/Item	TShine::control()	99.953	1536	0xf8	0xa8	0x50	18
mario/MoveBG/Item	TShine::loadBeforeInit(JSUMemoryInputStream&)	99.967	240	0x50	0x50	0x0	2
mario/MoveBG/Item	TEggYoshi::decideRandomLoveFruit()	99.872	312	0x68	0x28	0x40	10
mario/MoveBG/MapObjBianco	TBiancoWatermillVertical::TBiancoWatermillVertical(const char*)	99.800	100	0x28	0x18	0x10	5
mario/MoveBG/MapObjBianco	TBiancoMiniWindmill::touchWater(THitActor*)	99.944	284	0x60	0x60	0x0	4
mario/MoveBG/MapObjBianco	TLampSeesawMain::loadAfter()	99.898	196	0x90	0x88	0x8	5
mario/MoveBG/MapObjSirena	TItemSlotDrum::moveObject()	99.971	1388	0xd8	0xd8	0x0	10
mario/MoveBG/MapObjSirena	TPictureTelesa::touchActor(THitActor*)	99.921	356	0x28	0x30	-0x8	7
mario/MoveBG/MapObjMamma	TSandCastle::waitBeforeExplode()	99.938	128	0x28	0x28	0x0	2
mario/MoveBG/MapObjMamma	TLeanMirror::draw() const	99.477	352	0x58	0x50	0x8	46
mario/MoveBG/MapObjMamma	TLeanMirror::loadAfter()	99.905	296	0x58	0x58	0x0	7
mario/MoveBG/MapObjMamma	TLeanMirror::load(JSUMemoryInputStream&)	99.848	316	0xd0	0xa0	0x30	12
mario/MoveBG/MapObjMamma	TMammaBlockRotate::control()	99.947	608	0xb8	0xb8	0x0	8
mario/MoveBG/MapObjMamma	TMammaBlockRotate::initMapObj()	99.840	376	0x138	0xc8	0x70	15
mario/MoveBG/MapObjMamma	TSandBird::control()	99.938	580	0x78	0x48	0x30	9
mario/MoveBG/MapObjMamma	TMammaMirrorMapOperator::TMammaMirrorMapOperator(const char*)	99.913	412	0x30	0x38	-0x8	9
mario/MoveBG/MapObjPinna	TPinnaShell::control()	99.891	884	0xb0	0x80	0x30	24
mario/MoveBG/MapObjPinna	TPinnaShell::TPinnaShell()	99.929	168	0x18	0x18	0x0	3
mario/MoveBG/MapObjPinna	TAmiKing::moveObject()	99.922	872	0xd8	0x88	0x50	17
mario/MoveBG/MapObjPinna	TPinnaCoaster::control()	99.882	408	0x88	0x88	0x0	12
mario/MoveBG/MapObjMare	TCogwheel::initDraw() const	99.962	524	0x80	0x88	-0x8	5
mario/MoveBG/MapObjMare	TWireBell::initDraw() const	99.962	524	0x80	0x88	-0x8	5
mario/MoveBG/MapObjMare	TMapObjPuncher::touchPlayer(THitActor*)	99.720	372	0x68	0x68	0x0	26
mario/MoveBG/MapObjMare	TMuddyBoat::calc()	99.827	440	0xd0	0xd0	0x0	19
mario/MoveBG/MapObjBall	TMapObjBall::kicked()	99.815	540	0xb8	0x78	0x40	25
mario/MoveBG/MapObjBall	TResetFruit::control()	99.947	1584	0xf8	0x90	0x68	21
mario/MoveBG/ModelGate	TModelGate::loadAfter()	99.952	2168	0x2b0	0x268	0x48	26
mario/MoveBG/MapObjFence	TFenceWaterH::control()	99.624	712	0xf8	0x128	-0x30	67
mario/MoveBG/MapObjRailBlock	TNormalLift::control()	99.927	436	0x78	0x78	0x0	8
mario/MoveBG/MapObjRailBlock	TRailBlock::control()	99.809	1380	0x1b0	0x158	0x58	66
mario/MoveBG/MapObjMonte	THangingBridge::initDraw() const	99.872	596	0xf0	0xd8	0x18	19
mario/MoveBG/MapObjMonte	TSwingBoard::initDraw() const	99.962	524	0x80	0x88	-0x8	5
mario/MoveBG/MapObjMonte	TSwingBoard::control()	99.873	756	0x118	0x70	0xa8	24
mario/MoveBG/MapObjMonte	TSwingBoard::load(JSUMemoryInputStream&)	99.844	540	0x40	0x68	-0x28	21
mario/MoveBG/MapObjMonte	TFluff::move()	99.923	572	0x78	0x28	0x50	11
mario/MoveBG/MapObjMonte	TFluffManager::loadAfter()	99.822	964	0x78	0x88	-0x10	43
mario/MoveBG/MapObjCorona	TBathtub::quake(const JGeometry::TVec3<float>&)	99.949	316	0xa0	0xa0	0x0	4
mario/MoveBG/MapObjItem2	TMushroom1up::control()	99.806	1072	0x88	0x80	0x8	52
mario/NPC/NpcAnm	TBaseNPC::npcMadding()	99.871	712	0xb8	0xb8	0x0	23
mario/NPC/NpcNerve	TNerveNPCTurnToMario::execute(TSpineBase<TLiveActor>*) const	99.872	872	0xb0	0x88	0x28	28
mario/NPC/NpcEvent	evCheckCurNerve4Npc(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.957	464	0xa0	0xa0	0x0	5
mario/NPC/NpcEvent	evCheckLatestNerve4Npc(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.957	468	0x98	0x98	0x0	5
mario/NPC/NpcEvent	ev__ForceStartTalk__FP32TSpcTypedInterp<13TEventWatcher>Ul	99.917	532	0x90	0x90	0x0	11
mario/NPC/NpcEvent	evCheckMonteClear(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.963	432	0x90	0x90	0x0	4
mario/NPC/NpcCollision	TBaseNPC::bind()	99.948	536	0x48	0x48	0x0	7
mario/Strategic/liveactor	TLiveActor::init(TLiveManager*)	99.959	492	0x60	0x60	0x0	5
mario/Strategic/liveactor	TLiveActor::bind()	99.954	604	0x40	0x40	0x0	7
mario/Strategic/liveactor	TLiveActor::initAnmSound()	99.971	272	0x40	0x40	0x0	2
mario/Strategic/liveinterp	linGetSRT(TSpcTypedInterp<TLiveActor>*, unsigned long)	99.860	1944	0xe0	0xe0	0x0	68
mario/Strategic/ObjHitCheck	TObjHitCheck::entryGroup(TIdxGroupObj*)	99.763	472	0xe0	0xd8	0x8	28
mario/Strategic/ObjHitCheck	TObjHitCheck::checkActorsHit()	99.896	844	0xd8	0xb8	0x20	22
mario/Strategic/ObjHitCheck	TObjHitCheck::clearHitNum()	99.651	1044	0x228	0x1f8	0x30	91
mario/Strategic/spcinterp	TSpcInterp::execadd()	99.978	728	0x70	0x70	0x0	4
mario/Strategic/spcinterp	TSpcInterp::execsub()	99.978	728	0x70	0x70	0x0	4
mario/Strategic/spcinterp	TSpcInterp::execmul()	99.978	728	0x70	0x70	0x0	4
mario/Strategic/spcinterp	TSpcInterp::execdiv()	99.978	728	0x70	0x70	0x0	4
mario/Strategic/MirrorActor	TMirrorActor::init(J3DModel*, unsigned short)	99.945	508	0xd8	0xd8	0x0	7
mario/MarioUtil/DrawUtil	TTrembleModelEffect::movement()	99.889	1220	0x130	0x138	-0x8	34
mario/MarioUtil/LightUtil	TLightCommon::perform(unsigned long, JDrama::TGraphics*)	99.857	308	0x80	0x70	0x10	11
mario/MarioUtil/ShadowUtil	TMBindShadowBody::TMBindShadowBody(THitActor*, J3DModel*, float)	99.972	984	0x98	0x98	0x0	7
mario/MarioUtil/ShadowUtil	TMBindShadowManager::drawShadowVolume(bool, TAlphaShadowQuad*)	99.934	2188	0x1b0	0x1b0	0x0	36
mario/MarioUtil/ShadowUtil	TMBindShadowManager::request(const TCircleShadowRequest&, unsigned long)	99.866	808	0x70	0x48	0x28	27
mario/MarioUtil/ShadowUtil	TMBindShadowManager::forceRequest(const TCircleShadowRequest&, unsigned long)	99.500	304	0x58	0x40	0x18	23
mario/M3DUtil/MActorData	MActorAnmData::MActorAnmData()	99.880	100	0x20	0x10	0x10	3
mario/Player/MarioAutodemo	TMario::warpIn()	99.792	1228	0xf8	0xf0	0x8	64
mario/Player/MarioAutodemo	TMario::warpOut()	99.937	700	0x38	0x28	0x10	11
mario/Player/MarioCap	TMarioCap::perform(unsigned long, JDrama::TGraphics*)	99.930	1668	0x1e0	0x178	0x68	29
mario/Player/MarioCollision	TMario::incHP(int)	99.857	280	0x50	0x30	0x20	10
mario/Player/MarioCollision	TMario::calcDamagePos(const JGeometry::TVec3<float>&)	99.489	376	0x80	0x98	-0x18	48
mario/Player/MarioDraw	TMario::drawLogic()	99.961	408	0x28	0x28	0x0	4
mario/Player/MarioDraw	TMario::addDamageFog(JDrama::TGraphics*)	99.937	764	0x150	0x150	0x0	12
mario/Player/MarioJump	TMario::jumpingBasic(int, int, int)	99.988	1668	0xa0	0x58	0x48	5
mario/Player/MarioJump	TMario::jumpMain()	99.985	4224	0x88	0x60	0x28	16
mario/Player/MarioMain	TMario::perform(unsigned long, JDrama::TGraphics*)	99.974	2148	0x168	0x168	0x0	14
mario/Player/MarioMove	TMario::warpRequest(const JGeometry::TVec3<float>&, float)	99.883	240	0x68	0x68	0x0	7
mario/Player/MarioMove	TMario::checkWallPlane(Vec*, float, float)	99.692	312	0x78	0x88	-0x10	24
mario/Player/MarioMove	TMario::playerControl(JDrama::TGraphics*)	99.973	1196	0xe0	0xe0	0x0	8
mario/Player/MarioPhysics	TMario::hangonCheck(const TBGCheckData*, const Vec&, const Vec&)	99.887	496	0x60	0x60	0x0	14
mario/Player/MarioPhysics	TMario::jumpProcess(int)	99.978	364	0x48	0x48	0x0	2
mario/Player/MarioRun	TMario::getSlideStickMult()	99.881	168	0x48	0x28	0x20	5
mario/Player/MarioRun	TMario::slideProcess(float, float)	99.967	968	0x88	0x88	0x0	8
mario/Player/MarioRun	TMario::slopeProcess()	99.957	372	0x90	0x90	0x0	4
mario/Player/MarioRun	TMario::walkEnd()	99.986	584	0x20	0x20	0x0	2
mario/Player/MarioRun	TMario::moveMain()	99.983	2588	0x60	0x50	0x10	11
mario/Player/MarioSpecial	TMario::getOnWirePosAngle(JGeometry::TVec3<float>*, short*)	99.516	488	0x148	0x150	-0x8	59
mario/Player/MarioSpecial	TMario::wireMove(float)	99.692	312	0x68	0x58	0x10	24
mario/Player/MarioSpecial	TMario::wireWait()	99.797	1104	0x158	0x148	0x10	56
mario/Player/MarioSpecial	TMario::wireHanging()	99.853	1524	0x198	0x190	0x8	56
mario/Player/Tongue	TYoshiTongue::emit(const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&, const JGeometry::TVec3<float>&)	99.733	404	0x60	0x58	0x8	27
mario/Player/Tongue	TYoshiTongue::findTarget(bool, bool)	99.736	788	0xe0	0xc0	0x20	52
mario/Player/WaterGun	TWaterGun::perform(unsigned long, JDrama::TGraphics*)	99.940	332	0xb0	0x58	0x58	5
mario/Player/Yoshi	TYoshi::init(TMario*)	99.966	2724	0x290	0x270	0x20	23
mario/Player/Yoshi	TYoshi::appearFromEgg(const JGeometry::TVec3<float>&, float, TEggYoshi*)	99.867	392	0x50	0x48	0x8	13
mario/Player/Yoshi	TYoshi::doSearch()	99.741	1376	0x158	0x110	0x48	89
mario/Player/Yoshi	TYoshi::entry()	99.945	800	0x148	0x158	-0x10	11
mario/Player/ModelWaterManager	TModelWaterManager::drawSilhouette(float(*)[4])	99.865	1004	0xb0	0x90	0x20	34
mario/Player/ModelWaterManager	TModelWaterManager::drawRefracAndSpec() const	99.956	1360	0xc8	0xc8	0x0	15
mario/Player/MarioReceiveMsg	TMario::receiveMessage(THitActor*, unsigned long)	99.984	8900	0x220	0x1a8	0x78	35
mario/System/EventWatcher	evGetTalkMode(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.763	152	0x38	0x40	-0x8	9
mario/System/EventWatcher	evGetTalkSelectedValue(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.897	156	0x38	0x38	0x0	4
mario/System/EventWatcher	evIsOnLiveActorFlag(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.844	616	0xb0	0xb0	0x0	24
mario/System/EventWatcher	evSetAttentionTime(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.804	184	0x70	0x58	0x18	9
mario/System/EventWatcher	evSetPollutionIncreaseCount(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.804	184	0x70	0x58	0x18	9
mario/System/EventWatcher	evGetRestTime(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.800	220	0x30	0x38	-0x8	11
mario/System/EventWatcher	evInsertTimer(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.872	564	0xa0	0xa0	0x0	18
mario/System/EventWatcher	evIsInsideCube(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.825	388	0x60	0x60	0x0	17
mario/System/EventWatcher	evStartSE(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.876	356	0x50	0x50	0x0	11
mario/System/EventWatcher	evStartEventSE(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.888	392	0x58	0x58	0x0	11
mario/System/EventWatcher	evAppear8RedCoinsAndTimer(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.967	488	0xa0	0xa0	0x0	4
mario/System/EventWatcher	evWarpFrontToMario(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.794	564	0xb0	0xb0	0x0	29
mario/System/EventWatcher	evInvalidatePad(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.951	324	0x68	0x68	0x0	4
mario/System/EventWatcher	evIsWaterMelonIsReached(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.957	368	0x68	0x68	0x0	4
mario/System/EventWatcher	evStartMontemanBGM(TSpcTypedInterp<TEventWatcher>*, unsigned long)	99.923	208	0x28	0x28	0x0	4
mario/System/GCLogoDir	TGCLogoDir::direct()	99.787	356	0x78	0x48	0x30	19
mario/System/MarDirectorDirect	decideNextStage()	99.649	228	0x50	0x48	0x8	20
mario/System/MarDirectorDirect	TMarDirector::currentStateFinalize(unsigned char)	99.950	720	0x120	0x90	0x90	9
mario/System/MarDirectorEvent	TMarDirector::findNearestTalkNPC()	99.958	192	0x58	0x50	0x8	2
mario/System/MarDirectorEvent	TMarDirector::setNextStage(unsigned short, JDrama::TActor*)	99.660	400	0x50	0x40	0x10	34
mario/System/MarNameRefGen	TMarNameRefGen::getNameRef(const char*) const	99.998	7452	0x178	0x178	0x0	4
mario/System/MenuDir	TMenuDirector::setup(JDrama::TDisplay*, TMarioGamePad*)	99.787	300	0x58	0x40	0x18	16
mario/System/MenuDir	TMenuDirector::rsetup()	99.770	2316	0x2f0	0x298	0x58	133
mario/System/MenuDir	TMenuDirector::direct()	99.963	2296	0x128	0x78	0xb0	21
mario/System/MenuDir	TMenuDirector::setFixedStageValue()	99.926	1080	0x58	0x38	0x20	20
mario/System/PerformList	TPerformList::perform(unsigned long, JDrama::TGraphics*)	99.333	216	0xe8	0xc0	0x28	36
mario/System/Application	TApplication::TApplication()	99.635	208	0x40	0x30	0x10	19
mario/System/Application	TApplication::setupThreadFuncLogo()	99.960	804	0x140	0x140	0x0	8
mario/System/Application	TApplication::checkAdditionalMovie()	99.926	484	0x58	0x20	0x38	9
mario/System/Application	TApplication::proc()	99.982	1104	0xc8	0x78	0x50	5
mario/System/DrawSyncManager	TDrawSyncManager::setCallback(unsigned long, unsigned short, unsigned short, TDrawSyncCallback*)	99.615	52	0x30	0x30	0x0	5
mario/System/CardManager	TCardManager::copyTo(TCardManager::TCriteria*, TCardBookmarkInfo*)	99.796	412	0x98	0xa0	-0x8	21
mario/System/CardManager	TCardManager::writeBlock_(unsigned long)	99.926	544	0x70	0x58	0x18	10
mario/System/MovieDirector	TMovieDirector::setup(JDrama::TDisplay*, TMarioGamePad*)	99.792	308	0x58	0x40	0x18	16
mario/System/MSoundMainSide	MSMainProc::getMonteVillageActorArea(const Vec&)	99.907	172	0x30	0x30	0x0	4
mario/System/MSoundMainSide	MSMainProc::setMSoundEnterStage(unsigned char, unsigned char)	99.992	2512	0x88	0x40	0x48	5
mario/System/MSoundMainSide	MSStage::init(unsigned char, unsigned char)	99.952	924	0x80	0x28	0x58	11
mario/JSystem/JAudio/JALibrary/JALModSe	JALSystem::append(JALSystem::ModType, const char*, unsigned long, float, float, float, float, float, JALCalc::CurveSign, float, float, unsigned char)	99.849	1484	0x130	0xc8	0x68	56
mario/JSystem/JAudio/JASystem/JASChannel	JASystem::Driver::__UpdateJcToDSP(JASystem::TChannel*)	99.890	328	0x30	0x20	0x10	9
mario/JSystem/JAudio/JASystem/JASChannel	JASystem::Driver::__UpdateJcToDSPInit(JASystem::TChannel*)	99.864	264	0x30	0x20	0x10	9
mario/JSystem/JAudio/JASystem/JASChannel	JASystem::Driver::updatecallDSPChannel(JASystem::TDSPChannel*, unsigned long)	99.979	932	0x48	0x30	0x18	5
mario/JSystem/JAudio/JASystem/JASTrack	JASystem::TTrack::writeRegDirect(unsigned char, unsigned short)	99.784	204	0x28	0x20	0x8	11
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::JPABaseEmitter()	99.929	280	0x28	0x20	0x8	5
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::deleteAllParticle()	99.792	212	0x40	0x48	-0x8	11
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::loadBaseEmitterBlock(JPADataBlock*)	99.810	968	0x58	0x50	0x8	46
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::calcCreateParticle()	99.990	784	0x58	0x58	0x0	2
mario/JSystem/JParticle/JPAEmitter	JPABaseEmitter::calcKeyFrameAnime()	99.845	464	0x88	0x98	-0x10	18
mario/JSystem/JParticle/JPAField	JPABaseField::loadFieldBlock(JPADataBlock*)	99.927	604	0x50	0x48	0x8	11
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecRotBillBoard::exec(const JPADrawContext*, JPABaseParticle*)	99.830	540	0x80	0x80	0x0	23
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecRotYBillBoard::exec(const JPADrawContext*, JPABaseParticle*)	99.792	616	0x90	0x90	0x0	32
mario/JSystem/JParticle/JPADrawVisitor	dirTypePrevPtcl(JPABaseParticle*, JPABaseEmitter*, JGeometry::TVec3<float>&)	99.738	168	0x68	0x58	0x10	11
mario/JSystem/JParticle/JPADrawVisitor	JPADrawExecLine::exec(const JPADrawContext*, JPABaseParticle*)	99.634	448	0x78	0x70	0x8	41
mario/JSystem/JParticle/JPADrawVisitor	JPADrawCalcScaleXBySpeed::calc(const JPADrawContext*, JPABaseParticle*)	99.921	304	0x78	0x78	0x0	6
mario/JSystem/JParticle/JPADrawVisitor	JPADrawCalcScaleYBySpeed::calc(const JPADrawContext*, JPABaseParticle*)	99.921	304	0x78	0x78	0x0	6
mario/PowerPC_EABI_Support/Msl/MSL_C/MSL_Common_Embedded/Math/Single_precision/exponentialsf	powf	99.987	1856	0x90	0x90	0x0	6
