caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
0	mario/Enemy/emario	checkCollision__7TEMarioFv	536	544	-8	
0	mario/Enemy/enemy	searchNearestBrother__11TSpineEnemyCFv	4	292	-288	
0	mario/Enemy/enemy	goToInitialGraphNodeCheckY__11TSpineEnemyFf	4	232	-228	
0	mario/Enemy/enemy	goToInitialVisibleNode__11TSpineEnemyFff	4	252	-248	
0	mario/Enemy/enemyMario	__dt__9MAnmSoundFv	92	96	-4	
0	mario/Enemy/enemyinterp	initUserBuiltin__10TEinBinaryFv	152	160	-8	
0	mario/Enemy/enemyinterp	einSetGraph__FP29TSpcTypedInterp<10TLiveActor>Ul	184	408	-224	
0	mario/Enemy/enemyinterp	einWalkToCurPathNode__FP29TSpcTypedInterp<10TLiveActor>Ul	184	348	-164	
0	mario/Enemy/enemyinterp	einGoToRandomNextGraphNode__FP29TSpcTypedInterp<10TLiveActor>Ul	144	168	-24	
0	mario/Enemy/enemyinterp	einGetLengthToCurPathNode__FP29TSpcTypedInterp<10TLiveActor>Ul	176	240	-64	
0	mario/Enemy/enemyinterp	einGetLengthToMario__FP29TSpcTypedInterp<10TLiveActor>Ul	176	220	-44	
0	mario/Enemy/enemymanager	createCopyAnmMtx__13TEnemyManagerFi	4	348	-344	
0	mario/Enemy/enemymanager	killOtherEnemies__13TEnemyManagerFv	4	164	-160	
0	mario/Enemy/enemymanager	setScale__16TSharedMActorSetFRCQ29JGeometry8TVec3<f>	4	72	-68	
0	mario/Enemy/fireWanwan	calcShadowPos__11TFireWanwanFv	4	76	-72	
0	mario/Enemy/fireWanwan	doTurn__11TFireWanwanFv	212	248	-36	
0	mario/Enemy/fireWanwan	isCameraShake__11TFireWanwanCFv	320	328	-8	
0	mario/Enemy/fireWanwan	initTurnNextGraphNode__11TFireWanwanFv	104	108	-4	
0	mario/Enemy/fireWanwan	emitTailHitEffect__11TFireWanwanFv	4	84	-80	
0	mario/Enemy/fireWanwan	doAdjustTarget__11TFireWanwanFv	604	664	-60	
0	mario/Enemy/fireWanwan	decideTarget__11TFireWanwanFRCQ29JGeometry8TVec3<f>	736	676	60	
0	mario/Enemy/fireWanwan	doAttack__11TFireWanwanFv	552	516	36	
0	mario/Enemy/fireWanwan	calcApartPow__18TFireWanwanTailHitFv	400	404	-4	
0	mario/Enemy/fireWanwan	clipNodes__18TFireWanwanTailHitFPQ26JDrama9TGraphics	4	280	-276	
0	mario/Enemy/fireWanwan	behaveApart__18TFireWanwanTailHitFv	308	300	8	
0	mario/Enemy/fireWanwan	behaveTaken__18TFireWanwanTailHitFP9THitActor	380	376	4	
0	mario/Enemy/fireWanwan	receiveMessageFromBody__18TFireWanwanManagerFPC11TFireWanwanQ218TFireWanwanManager11BodyMsgType	32	172	-140	
0	mario/Enemy/fireWanwan	receiveMessageFromTail__18TFireWanwanManagerFi	4	44	-40	
0	mario/Enemy/fireWanwan	setTailPos__11TTailRubberFRCQ29JGeometry8TVec3<f>	64	48	16	
0	mario/Enemy/fireWanwan	setHeadPos__11TTailRubberFRCQ29JGeometry8TVec3<f>	48	32	16	
0	mario/Enemy/fruitsboat	rowToCurPathNode__11TFruitsBoatFf	340	380	-40	
0	mario/Enemy/fruitsboat	setJumpReaction__11TFruitsBoatFv	196	184	12	
0	mario/Enemy/gesso	modifyRotate__6TGessoFv	4	56	-52	
0	mario/Enemy/graph	__dt__11TGraphGroupFv	64	148	-84	
0	mario/Enemy/graph	getDesignatedNodeIndex__9TGraphWebCFUlif	4	520	-516	
0	mario/Enemy/graph	isOnePath__9TGraphWebCFv	4	160	-156	
0	mario/Enemy/graph	getNodeIndexInXZRange__9TGraphWebCFRCQ29JGeometry8TVec3<f>fUl	4	352	-348	
0	mario/Enemy/graph	findNearestNodeIndexCheckY__9TGraphWebCFRCQ29JGeometry8TVec3<f>fUl	4	276	-272	
0	mario/Enemy/graph	findFarthestNodeIndex__9TGraphWebCFRCQ29JGeometry8TVec3<f>Ul	4	252	-248	
0	mario/Enemy/graph	getAimToGoalNextIndex__9TGraphWebCFiiUlf	4	436	-432	
0	mario/Enemy/hamukuri	execute__25TNerveDangoHamuKuriAttackCFP24TSpineBase<10TLiveActor>	4	180	-176	
0	mario/Enemy/hamukuri	genFire__13TFireHamuKuriFv	4	36	-32	
0	mario/Enemy/hamukuri	recoverFire__13TFireHamuKuriFv	168	136	32	
0	mario/Enemy/hamukuri	nerveInit__14TDangoHamuKuriFv	140	156	-16	
0	mario/Enemy/hamukuri	setWallDeadEffect__9THamuKuriFv	352	304	48	
0	mario/Enemy/hamukuri	changeCapHolder__9THamuKuriFv	4	436	-432	
0	mario/Enemy/hanasambo	hide__12TSamboFlowerFv	184	80	104	
0	mario/Enemy/hinokuri2	shakeCamera__10THinokuri2Fi	164	168	-4	
0	mario/Enemy/hinokuri2	updatePolTrans__10THinokuri2Fv	120	112	8	
0	mario/Enemy/igaiga	waterExplosion__7TIgaigaFv	104	72	32	
0	mario/Enemy/igaiga	rollMove__7TIgaigaFv	172	248	-76	
0	mario/Enemy/killer	flyMove__9TFlyEnemyFv	696	700	-4	
0	mario/Enemy/koopajr	getBathtubY__8TKoopaJrFv	12	52	-40	
0	mario/Enemy/koopajr	startKoopaJrMessage__8TKoopaJrFUl	52	44	8	
0	mario/Enemy/limitkoopa	checkMarioWhichSide__11TLimitKoopaFv	4	104	-100	
0	mario/Enemy/limitkoopa	getAnmEnd__11TLimitKoopaCFv	44	72	-28	
0	mario/Enemy/limitkoopa	stagger__11TLimitKoopaFb	4	576	-572	
0	mario/Enemy/limitkoopa	__dt__21TNerveLimitKoopaFlameFv	92	108	-16	
0	mario/Enemy/limitkoopa	getDown__11TLimitKoopaFv	4	672	-668	
0	mario/Enemy/limitkoopa	getNeckFocus__11TLimitKoopaCFv	8	232	-224	
0	mario/Enemy/limitkoopa	getFlameDir__11TLimitKoopaCFv	20	384	-364	
0	mario/Enemy/limitkoopa	endsAnm__11TLimitKoopaCFv	8	60	-52	
0	mario/Enemy/limitkoopa	setAnimationIndex__11TLimitKoopaFi	4	112	-108	
0	mario/Enemy/limitkoopa	makeDirection__11TLimitKoopaFf	8	92	-84	
0	mario/Enemy/limitkoopa	calcTargetDirection__11TLimitKoopaFv	164	148	16	
0	mario/Enemy/limitkoopa	moveHipDrop__11TLimitKoopaFv	4	76	-72	
0	mario/Enemy/limitkoopa	moveStop__11TLimitKoopaFv	4	32	-28	
0	mario/Enemy/limitkoopa	resetLimitKoopa__11TLimitKoopaFv	4	44	-40	
0	mario/Enemy/limitkoopa	execute__21TNerveLimitKoopaFlameCFP24TSpineBase<10TLiveActor>	8	368	-360	
0	mario/Enemy/limitkoopa	execute__20TNerveLimitKoopaFallCFP24TSpineBase<10TLiveActor>	8	108	-100	
0	mario/Enemy/limitkoopajr	makeDirection__13TLimitKoopaJrFQ29JGeometry8TVec3<f>	164	256	-92	
0	mario/Enemy/limitkoopajr	startKoopaJrMessage__13TLimitKoopaJrFUl	60	44	16	
0	mario/Enemy/mameGesso	checkMarioState__10TMameGessoFv	4	104	-100	
0	mario/Enemy/mameGesso	rebirth__10TMameGessoFv	4	88	-84	
0	mario/Enemy/namekuri	canJumpAttack__9TNameKuriCFv	4	80	-76	
0	mario/Enemy/pakkun	createPakkunSmoke__7TPakkunFRQ29JGeometry8TVec3<f>	148	152	-4	
0	mario/Enemy/pakkun	isHideEnd__7TPakkunCFv	28	32	-4	
0	mario/Enemy/poihana	isOnTrap__8TPoiHanaFv	180	176	4	
0	mario/Enemy/popo	explosionEffect__5TPopoFv	184	136	48	
0	mario/Enemy/tamaNoko	forceWakeUp__9TTamaNokoFv	4	248	-244	
0	mario/Enemy/tamaNoko	setBckAnm__15TTamaNokoFlowerFi	172	168	4	
0	mario/Enemy/telesa	resetBaseGround__7TTelesaFv	28	24	4	
0	mario/Enemy/telesa	isResetTransY__7TTelesaFv	4	52	-48	
0	mario/Enemy/tinkoopa	checkTinKoopaFirstRocketMessage__9TTinKoopaFv	208	108	100	
0	mario/Enemy/tinkoopa	makeEyeBeamEffect__9TTinKoopaFv	264	948	-684	
0	mario/Enemy/tinkoopa	printTinKoopaDebugInfo__FP9TTinKoopa	4	588	-584	
0	mario/Enemy/tinkoopa	joinAnm__16TTinKoopaMtxCalcFi	64	56	8	
0	mario/Enemy/tinkoopa	__ct__16TTinKoopaMtxCalcFP9TTinKoopa	144	152	-8	
0	mario/Enemy/tinkoopa	emitPartsTrackEffects__18TTinKoopaPartsBaseFv	768	764	4	
0	mario/Enemy/wireBinder	reset__11TWireBinderFRCQ29JGeometry8TVec3<f>	304	312	-8	
0	mario/Enemy/wireTrap	isEndWire__9TWireTrapCFv	52	48	4	
0	mario/Enemy/wireTrap	isStartWire__9TWireTrapCFv	52	48	4	
0	mario/Enemy/wireTrap	setMoveMode__9TWireTrapFi	356	352	4	
0	mario/Enemy/wireTrap	doSearchMove__9TWireTrapFv	496	440	56	
0	mario/Enemy/wireTrap	doOnewayMove__9TWireTrapFv	316	260	56	
0	mario/Enemy/wireTrap	doReturnMove__9TWireTrapFv	332	276	56	
0	mario/Enemy/yunbo	setMaterialToMActor__6TYumboFP6MActorP16J3DMaterialTable	76	72	4	
0	mario/GC2D/BoundPane	__ct__10TBoundPaneFP10JUTTexture11_GXCullMode	136	280	-144	
0	mario/GC2D/CardLoad	setupTitleScreen__9TCardLoadFv	4	396	-392	
0	mario/GC2D/CardLoad	changePattern__9TCardLoadFP10J2DPicturesUl	4	200	-196	
0	mario/GC2D/CardSave	changePattern__9TCardSaveFP10J2DPicturesUl	4	200	-196	
0	mario/GC2D/CardSave	changeMessage__9TCardSaveFUlUli	4	232	-228	
0	mario/GC2D/ExPane	__ct__7TExPaneFP10JUTTexture11_GXCullMode	84	240	-156	
0	mario/GC2D/GCConsole2	resetMoveTank__11TGCConsole2Fv	4	224	-220	
0	mario/GC2D/Guide	searchNearPoint__6TGuideFPsPsss	280	452	-172	
0	mario/GC2D/Guide	startMoveCursor2__6TGuideFv	64	348	-284	
0	mario/GC2D/Guide	setup2__6TGuideFP13JKRMemArchive	80	60	20	
0	mario/GC2D/MovieRumble	readCurInfo__12TMovieRumbleFv	212	208	4	
0	mario/GC2D/MovieSubtitle	makeBmgName__14TMovieSubTitleFPciPCc	84	76	8	
0	mario/GC2D/MovieSubtitle	is_longheight_movie__9@unnamed@FUl	56	52	4	
0	mario/GC2D/Option	print_pane_tree__9@unnamed@FP7J2DPanei	4	160	-156	
0	mario/GC2D/Option	tag_to_string__9@unnamed@FPcUl	4	52	-48	
0	mario/GC2D/ScrnFader	updateDelay__9TSMSFaderFv	4	84	-80	
0	mario/GC2D/SunGlass	changeAlpha__9TSunGlassFPUc	4	164	-160	
0	mario/GC2D/hx_wiper	Hx_MovieStartSync	44	112	-68	
0	mario/GC2D/hx_wiper	InitWipe	20	12	8	
0	mario/GC2D/hx_wiper	SetDisplaySize	16	24	-8	
0	mario/GC2D/hx_wiper	Hx_SetVFilterFade	764	856	-92	
0	mario/GC2D/hx_wiper	Hgx_DrawCircle	288	456	-168	
0	mario/JSystem/J2D/J2DGrafContext	drawFrame__14J2DGrafContextFRC7JUTRect	4	236	-232	
0	mario/JSystem/J2D/J2DGrafContext	line__14J2DGrafContextF8JUTPoint8JUTPoint	4	192	-188	
0	mario/JSystem/J2D/J2DGrafContext	lineTo__14J2DGrafContextF8JUTPoint	4	188	-184	
0	mario/JSystem/J2D/J2DGrafContext	polyline__14J2DGrafContextFP8JUTPointi	4	528	-524	
0	mario/JSystem/J2D/J2DGrafContext	polyline__14J2DGrafContextFPii	4	548	-544	
0	mario/JSystem/J2D/J2DGrafContext	polylineTo__14J2DGrafContextFP8JUTPointi	4	580	-576	
0	mario/JSystem/J2D/J2DGrafContext	polylineTo__14J2DGrafContextFPii	4	600	-596	
0	mario/JSystem/J2D/J2DOrthoGraph	setOrtho__13J2DOrthoGraphFRC7JUTRectff	4	52	-48	
0	mario/JSystem/J2D/J2DOrthoGraph	setOrigin__13J2DOrthoGraphFii	4	196	-192	
0	mario/JSystem/J2D/J2DOrthoGraph	J2DDrawLine__FiiiiQ28JUtility6TColori	4	268	-264	
0	mario/JSystem/J2D/J2DOrthoGraph	J2DFillBox__FiiiiQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColor	4	148	-144	
0	mario/JSystem/J2D/J2DOrthoGraph	J2DFillBox__F7JUTRectQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColor	4	240	-236	
0	mario/JSystem/J2D/J2DOrthoGraph	J2DDrawFrame__FiiiiQ28JUtility6TColorUc	4	116	-112	
0	mario/JSystem/J2D/J2DOrthoGraph	J2DDrawFrame__F7JUTRectQ28JUtility6TColorUc	4	240	-236	
0	mario/JSystem/J2D/J2DPane	__ct__7J2DPaneFUlRC7JUTRect	192	332	-140	
0	mario/JSystem/J2D/J2DPane	gather__7J2DPaneFPP7J2DPaneUlUliRi	4	280	-276	
0	mario/JSystem/J2D/J2DPane	getFirstChildPane__7J2DPaneFv	8	56	-48	
0	mario/JSystem/J2D/J2DPane	getNextChildPane__7J2DPaneFv	8	56	-48	
0	mario/JSystem/J2D/J2DPane	getParentPane__7J2DPaneFv	8	28	-20	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFv	124	148	-24	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFPC7ResTIMG	124	196	-72	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFPCc	124	196	-72	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFP10JUTTexture	124	196	-72	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFUlRC7JUTRectPC7ResTIMGPC7ResTLUT	124	196	-72	
0	mario/JSystem/J2D/J2DPicture	__ct__10J2DPictureFUlRC7JUTRectPCcPC7ResTLUT	124	208	-84	
0	mario/JSystem/J2D/J2DPicture	initiate__10J2DPictureFPC7ResTIMGPC7ResTLUT	4	104	-100	
0	mario/JSystem/J2D/J2DPicture	private_initiate__10J2DPictureFPC7ResTIMGPC7ResTLUT	4	188	-184	
0	mario/JSystem/J2D/J2DPicture	initinfo__10J2DPictureFv	4	260	-256	
0	mario/JSystem/J2D/J2DPicture	insert__10J2DPictureFPC7ResTIMGUcf	8	360	-352	
0	mario/JSystem/J2D/J2DPicture	insert__10J2DPictureFPCcUcf	8	96	-88	
0	mario/JSystem/J2D/J2DPicture	remove__10J2DPictureFP10JUTTexture	8	84	-76	
0	mario/JSystem/J2D/J2DPicture	changeTexture__10J2DPictureFPCcUc	8	216	-208	
0	mario/JSystem/J2D/J2DPicture	drawOut__10J2DPictureFRC7JUTRectRC7JUTRect	4	788	-784	
0	mario/JSystem/J2D/J2DPrint	__ct__8J2DPrintFP7JUTFontii	44	120	-76	
0	mario/JSystem/J2D/J2DPrint	__ct__8J2DPrintFP7JUTFontQ28JUtility6TColorQ28JUtility6TColor	44	120	-76	
0	mario/JSystem/J2D/J2DPrint	setBuffer__8J2DPrintFPcUl	4	104	-100	
0	mario/JSystem/J2D/J2DPrint	putChar__8J2DPrintFi	4	284	-280	
0	mario/JSystem/J2D/J2DPrint	putChar__8J2DPrintFiii	4	368	-364	
0	mario/JSystem/J2D/J2DPrint	print__8J2DPrintFPCce	80	136	-56	
0	mario/JSystem/J2D/J2DPrint	print__8J2DPrintFUcPCce	80	128	-48	
0	mario/JSystem/J2D/J2DPrint	getSize__8J2DPrintFRQ28J2DPrint5TSizePCce	80	276	-196	
0	mario/JSystem/J2D/J2DPrint	getHeight__8J2DPrintFPCce	84	268	-184	
0	mario/JSystem/J2D/J2DScreen	set__9J2DScreenFPCcP10JKRArchive	4	212	-208	
0	mario/JSystem/J2D/J2DScreen	set__9J2DScreenFP20JSURandomInputStream	4	56	-52	
0	mario/JSystem/J2D/J2DScreen	gather__9J2DScreenFPP7J2DPaneUlUli	4	48	-44	
0	mario/JSystem/J2D/J2DTextBox	__ct__10J2DTextBoxFPCcPCc	80	160	-80	
0	mario/JSystem/J2D/J2DTextBox	__ct__10J2DTextBoxFUlRC7JUTRectPCcPCc18J2DTextBoxHBinding18J2DTextBoxVBinding	80	168	-88	
0	mario/JSystem/J2D/J2DTextBox	setFontSize__10J2DTextBoxFv	4	96	-92	
0	mario/JSystem/J2D/J2DTextBox	setLineSpace__10J2DTextBoxFv	4	72	-68	
0	mario/JSystem/J2D/J2DTextBox	draw__10J2DTextBoxFiii	4	340	-336	
0	mario/JSystem/J2D/J2DTextBox	getString__10J2DTextBoxFPc	4	44	-40	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFPC7ResTIMGPC7ResTIMGPC7ResTIMGPC7ResTIMG	120	448	-328	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFPCcPCcPCcPCc	120	496	-376	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFPC7ResTIMG14J2DTextureBase	120	444	-324	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFPCc14J2DTextureBase	120	460	-340	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFUlRC7JUTRectPC7ResTIMGPC7ResTIMGPC7ResTIMGPC7ResTIMGPC7ResTLUT	120	216	-96	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFUlRC7JUTRectPCcPCcPCcPCcPC7ResTLUT	120	276	-156	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFUlRC7JUTRectPC7ResTIMG14J2DTextureBasePC7ResTLUT	120	216	-96	
0	mario/JSystem/J2D/J2DWindow	__ct__9J2DWindowFUlRC7JUTRectPCc14J2DTextureBasePC7ResTLUT	120	232	-112	
0	mario/JSystem/J2D/J2DWindow	initiate__9J2DWindowFPC7ResTIMGPC7ResTIMGPC7ResTIMGPC7ResTIMGPC7ResTLUT15J2DWindowMirrorRC7JUTRect	4	524	-520	
0	mario/JSystem/J2D/J2DWindow	initiateColor__9J2DWindowFv	4	252	-248	
0	mario/JSystem/J2D/J2DWindow	J2DConvertMirror__F14J2DTextureBase	16	72	-56	
0	mario/JSystem/J2D/J2DWindow	draw__9J2DWindowFRC7JUTRect	4	240	-236	
0	mario/JSystem/J2D/J2DWindow	draw__9J2DWindowFRC7JUTRectRC7JUTRect	4	1264	-1260	
0	mario/JSystem/J2D/J2DWindow	setContentsColor__9J2DWindowFQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColorQ28JUtility6TColor	4	36	-32	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	clear__13J3DDeformDataFv	4	32	-28	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	__ct__13J3DDeformDataFv	4	32	-28	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	base__13J3DDeformDataFP8J3DModel	4	116	-112	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	clear__11J3DDeformerFv	4	32	-28	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	base__11J3DDeformerFP8J3DModel	4	1324	-1320	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DCluster	calc__15J3DVtxColorCalcFP8J3DModel	280	276	4	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DJoint	__ct__8J3DJointFUsRC16J3DTransformInfo	60	508	-448	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	newSharedDisplayList__12J3DModelDataFv	116	112	4	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	entryTexNoAnimator__12J3DModelDataFP16J3DAnmTexPattern	232	220	12	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	patch__8J3DModelFv	152	136	16	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	setDeformData__8J3DModelFP13J3DDeformData19J3DDeformAttachFlag	44	52	-8	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	setVtxColorCalc__8J3DModelFP15J3DVtxColorCalc19J3DDeformAttachFlag	44	52	-8	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	setVtxShader__8J3DModelFP12J3DVtxShader19J3DDeformAttachFlag	116	76	40	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	calcBaseMtx__8J3DModelFv	76	168	-92	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	J3DCreateModel__FP12J3DModelDataUlP7JKRHeapbPP12JKRSolidHeap	188	268	-80	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	J3DCreateModel__FP12JKRSolidHeapUlP12J3DModelDataUl	136	144	-8	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	J3DCreateModelArray__FP12JKRSolidHeapiPP8J3DModelP12J3DModelDataUl	168	196	-28	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	__ct__14J3DSimpleModelFP12J3DModelDataUl	124	144	-20	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	initialize__14J3DSimpleModelFv	40	104	-64	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	entryModelData__14J3DSimpleModelFP12J3DModelDataUl	204	156	48	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	update__14J3DSimpleModelFv	56	52	4	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	calc__14J3DSimpleModelFv	116	148	-32	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	entry__14J3DSimpleModelFv	84	372	-288	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	viewCalc__14J3DSimpleModelFv	92	136	-44	
0	mario/JSystem/J3D/J3DGraphAnimator/J3DModel	prepareShapePackets__14J3DSimpleModelFv	64	104	-40	
0	mario/JSystem/J3D/J3DGraphBase/J3DDrawBuffer	setCallBackPacket__13J3DDrawBufferFP17J3DCallBackPacket	4	48	-44	
0	mario/JSystem/J3D/J3DGraphBase/J3DMaterial	patch__11J3DMaterialFv	4	108	-104	
0	mario/JSystem/J3D/J3DGraphBase/J3DMaterial	safeLoad__11J3DMaterialFv	4	132	-128	
0	mario/JSystem/J3D/J3DGraphBase/J3DShape	__ct__13J3DShapeMtxDLFUs	32	168	-136	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	loadTexMtx__6J3DSysCFUlPA4_f	4	48	-44	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitGX__6J3DSysFv	4	92	-88	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitGenMode__6J3DSysFv	4	76	-72	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitLighting__6J3DSysFv	4	172	-168	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitTransform__6J3DSysFv	4	260	-256	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitTevStages__6J3DSysFv	4	684	-680	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitIndStages__6J3DSysFv	4	252	-248	
0	mario/JSystem/J3D/J3DGraphBase/J3DSys	reinitPixelProc__6J3DSysFv	4	148	-144	
0	mario/JSystem/J3D/J3DGraphBase/J3DTevs	J3DGDSetTexLookupMode__F11_GXTexMapID14_GXTexWrapMode14_GXTexWrapMode12_GXTexFilter12_GXTexFilterfffUcUc13_GXAnisotropy	536	532	4	
0	mario/JSystem/J3D/J3DGraphBase/J3DTransform	J3DScaleNrmMtx__FPA4_fRC3Vec	4	100	-96	
0	mario/JSystem/J3D/J3DGraphBase/J3DTransform	PSSqrtfv__FPfPfUl	4	48	-44	
0	mario/JSystem/J3D/J3DGraphBase/J3DTransform	J3DPSMTXConcatArray__FPA4_CfPA3_A4_CfPA3_A4_fUl	4	344	-340	
0	mario/JSystem/J3D/J3DGraphBase/J3DVertex	copyLocalVtxArray__15J3DVertexBufferF19J3DDeformAttachFlag	4	508	-504	
0	mario/JSystem/J3D/J3DGraphBase/J3DVertex	copyVtxColorArray__15J3DVertexBufferF19J3DDeformAttachFlag	4	316	-312	
0	mario/JSystem/J3D/J3DGraphLoader/J3DClusterLoader	load__24J3DClusterLoaderDataBaseFPCv	132	160	-28	
0	mario/JSystem/J3D/J3DGraphLoader/J3DClusterLoader	readCluster__20J3DClusterLoader_v15FPC15J3DClusterBlock	636	700	-64	
0	mario/JSystem/JAudio/JAInterface/JAIAnimation	initActorAnimSound__13JAIAnimeSoundFPv8JAIActorUlf	4	68	-64	
0	mario/JSystem/JAudio/JAInterface/JAIAnimation	setAnimSound__13JAIAnimeSoundFP8JAIBasicffUc	4	40	-36	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	readInitSoundData__8JAIBasicFv	4	48	-44	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	checkAllWaveLoadStatus__8JAIBasicFv	4	68	-64	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	startSoundVec__8JAIBasicFUlPP8JAISoundP3VecUlUlUc	4	56	-52	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	startSoundVecReturnHandle__8JAIBasicFUlP3VecUlUlUc	4	100	-96	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	getPlayingSoundHandle__8JAIBasicFPP8JAISoundUl	4	108	-104	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopPlayingObjectSe__8JAIBasicFPv	4	136	-132	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopPlayingIDObjectSe__8JAIBasicFUlPv	4	152	-148	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopPlayingCategorySe__8JAIBasicFUc	4	104	-100	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopPlayingCategoryObjectSe__8JAIBasicFUcPv	4	144	-140	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSe__8JAIBasicFPv	4	136	-132	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSe__8JAIBasicFUcPv	4	144	-140	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSeq__8JAIBasicFPv	4	40	-36	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllStream__8JAIBasicFPv	4	40	-36	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopActorSoundOneBuffer__8JAIBasicFPvP8JAISound	4	100	-96	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopIDSoundOneBuffer__8JAIBasicFUlP8JAISound	4	108	-104	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopIDActorSoundOneBuffer__8JAIBasicFUlPvP8JAISound	4	132	-128	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSound__8JAIBasicFPv	4	252	-248	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	getPlayingSoundLinkHeadPointer__8JAIBasicFUl	4	100	-96	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSound__8JAIBasicFUl	4	292	-288	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	stopAllSound__8JAIBasicFUlPv	4	340	-336	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	deleteObject__8JAIBasicFPv	4	272	-268	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	releaseSoundHandle__8JAIBasicFP8JAISound	4	20	-16	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	getDummyVecPointer__8JAIBasicFv	4	104	-100	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	getGameFrameCounter__8JAIBasicFv	4	8	-4	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	setPauseFlagAll__8JAIBasicFUc	4	188	-184	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	checkPlayingSoundTrack__8JAIBasicFUl	4	80	-76	
0	mario/JSystem/JAudio/JAInterface/JAIBasic	changeSoundScene__8JAIBasicFUl	4	404	-400	
