caller_nonexact_bytes	unit	symbol	ours	map	delta	nonexact_callers(size,fuzzy)
2648	mario/Enemy/bossgesso	inSight__10TBossGessoFv	388	380	8	doAttackSingle__10TBossGessoFv(2648,93.3)
2648	mario/Enemy/bossgesso	inSightAngle__10TBossGessoFf	196	364	-168	doAttackSingle__10TBossGessoFv(2648,93.3)
2588	mario/Player/MarioRun	broadJumpSlip__6TMarioFv	112	328	-216	moveMain__6TMarioFv(2588,100.0)
2588	mario/Player/MarioRun	ultraJumpSlip__6TMarioFv	88	304	-216	moveMain__6TMarioFv(2588,100.0)
2588	mario/Player/MarioRun	uTurnJumpSlip__6TMarioFv	120	348	-228	moveMain__6TMarioFv(2588,100.0)
2588	mario/Player/MarioRun	secJumpSlip__6TMarioFv	88	304	-216	moveMain__6TMarioFv(2588,100.0)
2588	mario/Player/MarioRun	landSlip__6TMarioFv	88	304	-216	moveMain__6TMarioFv(2588,100.0)
2588	mario/Player/MarioRun	jumpSlip__6TMarioFv	88	304	-216	moveMain__6TMarioFv(2588,100.0)
2540	mario/GC2D/Option	getValue__16TOptionSoundUnitCFv	80	84	-4	update__17TOptionRumbleUnitFv(964,99.8);update__19TOptionSubtitleUnitFv(644,99.7);update__16TOptionSoundUnitFv(724,99.6);isChangedSetting__14TOptionControlCFv(208,98.8)
2484	mario/Enemy/bossManta	startWalkAnim__10TBossMantaFv	216	212	4	execute__15TNerveMantaMoveCFP24TSpineBase<10TLiveActor>(2484,98.9)
2428	mario/Player/WaterGun	animation__12TNozzleTurboFi	4	1252	-1248	emit__11TNozzleBaseFi(716,94.2);emit__14TNozzleTriggerFi(776,94.6);emit__13TNozzleDeformFi(936,93.9)
2396	mario/Enemy/Koopa	set__11TKoopaPartsFRCQ29JGeometry8TVec3<f>ff	108	132	-24	control__11TKoopaFlameFv(240,94.3);setUpHitActors__6TKoopaFv(1176,98.1);updateAnmSound__6TKoopaFv(200,99.5);calcRootMatrix__6TKoopaFv(780,81.7)
2332	mario/GC2D/Option	hide__16TOptionSoundUnitFv	4	48	-44	update__17TOptionRumbleUnitFv(964,99.8);update__19TOptionSubtitleUnitFv(644,99.7);update__16TOptionSoundUnitFv(724,99.6)
2332	mario/GC2D/Option	show__17TOptionRumbleUnitFv	4	12	-8	update__17TOptionRumbleUnitFv(964,99.8);update__19TOptionSubtitleUnitFv(644,99.7);update__16TOptionSoundUnitFv(724,99.6)
2332	mario/GC2D/Option	updateScale__13TArrowControlFv	228	268	-40	update__17TOptionRumbleUnitFv(964,99.8);update__19TOptionSubtitleUnitFv(644,99.7);update__16TOptionSoundUnitFv(724,99.6)
2232	mario/Enemy/Kazekun	getAroundQuat__8TKazekunFRQ29JGeometry9TQuat4<f>RCQ29JGeometry8TVec3<f>f	992	984	8	flyAroundMario__8TKazekunFv(916,97.3);doAttackPose__8TKazekunFb(1316,87.6)
2124	mario/Enemy/fireWanwan	checkBalloonHelpBoss23__18TFireWanwanManagerFv	124	128	-4	perform__19TFireWanwanTailNodeFUlPQ26JDrama9TGraphicsRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>(496,97.3);perform__18TFireWanwanTailHitFUlPQ26JDrama9TGraphics(1628,99.0)
2124	mario/Enemy/fireWanwan	checkBalloonHelpBoss22__18TFireWanwanManagerFv	232	228	4	perform__19TFireWanwanTailNodeFUlPQ26JDrama9TGraphicsRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>(496,97.3);perform__18TFireWanwanTailHitFUlPQ26JDrama9TGraphics(1628,99.0)
2052	mario/Enemy/fireWanwan	emitEffectsOnHittingWall__11TFireWanwanFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	656	684	-28	bind__11TFireWanwanFv(2052,99.6)
2020	mario/Enemy/enemyMario	canJumpToNode__11TEnemyMarioCFv	112	108	4	emReplayJumpToNearestNode__11TEnemyMarioFv(2020,98.1)
1968	mario/MoveBG/MapObjCorona	isCracking__12TBathtubGripCFv	32	40	-8	perform__8TBathtubFUlPQ26JDrama9TGraphics(772,99.6);control__8TBathtubFv(1196,99.0)
1936	mario/Enemy/bosswanwan	changeBck__11TBossWanwanFi	320	324	-4	init__11TBossWanwanFP12TLiveManager(1936,99.7)
1936	mario/Player/MarioRun	changePlayerCatching__6TMarioFv	104	108	-4	running__6TMarioFv(1936,99.6)
1836	mario/Camera/cameralib	CLBCalcNearClipAngle__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sf	332	340	-8	CLBCalcNearNinePos__FPQ29JGeometry8TVec3<f>P6S16VecRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>sfRCQ29JGeometry8TVec2<f>(1836,92.0)
1780	mario/Enemy/Kumokun	checkWalls__12TWallAtGraphFPQ29JGeometry8TVec3<f>f	164	176	-12	bind__8TKumokunFv(1780,99.5)
1768	mario/Enemy/fireWanwan	updateHitPoint__11TFireWanwanFv	252	232	20	moveObject__11TFireWanwanFv(1768,98.9)
1768	mario/GC2D/Option	update__13TArrowControlFv	316	340	-24	loadSetting__14TOptionControlFv(1232,100.0);movementOption__14TOptionControlFv(536,100.0)
1676	mario/Animal/BeeHive	setBoidParamOnWaiting__8TBeeHiveFv	196	192	4	doWait__8TBeeHiveFv(1676,95.5)
1676	mario/Animal/BeeHive	setBoidParamOnAttacking__8TBeeHiveFv	224	220	4	doWait__8TBeeHiveFv(1676,95.5)
1636	mario/Map/MapWire	initTipPoints__8TMapWireFPC16TCubeGeneralInfo	500	496	4	init__8TMapWireFPC16TCubeGeneralInfo(1636,98.9)
1632	mario/MoveBG/MapObjMonte	findNextFluff__13TFluffManagerFv	244	280	-36	control__11TSwingBoardFv(756,99.9);control__13TFluffManagerFv(876,99.6)
1628	mario/MoveBG/MapObjCorona	getDir__9@unnamed@FPA4_fRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	300	360	-60	getNearGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>fPf(460,99.9);getNextJuncture__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>(576,99.5);getNextGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fPf(592,99.5)
1628	mario/MoveBG/MapObjCorona	getDir__9@unnamed@FPA4_fRCQ29JGeometry8TVec3<f>	116	156	-40	getNearGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>fPf(460,99.9);getNextJuncture__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>(576,99.5);getNextGrip__8TBathtubCFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>fPf(592,99.5)
1584	mario/MoveBG/MapObjBall	rotting__11TResetFruitFv	160	172	-12	control__11TResetFruitFv(1584,99.9)
1508	mario/Enemy/cannon	entryObjCollision__7TCannonFv	100	88	12	init__7TCannonFP12TLiveManager(1508,99.8)
1508	mario/Enemy/tinkoopa	makeCoasterDistanceTable__9TTinKoopaFv	388	364	24	init__9TTinKoopaFP12TLiveManager(1508,95.0)
1440	mario/Enemy/wireTrap	behaveHitWireTrap__9TWireTrapFP9TWireTrapRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	688	600	88	checkHitActors__9TWireTrapFv(1440,99.0)
1400	mario/Map/MapMakeList	addCheckDataToList__17TMapCollisionDataFiiiiP12TBGCheckData	624	636	-12	addCheckDataToGrid__17TMapCollisionDataFP12TBGCheckDatai(1400,93.1)
1392	mario/Enemy/koopajr	makeDirection__17TKoopaJrSubmarineFv	296	396	-100	makeRelativeAngle__17TKoopaJrSubmarineFv(504,99.6);checkNerve__17TKoopaJrSubmarineFv(888,99.6)
